Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
3173,-0.37728822,0.8763857,10.077578,,,,,,,
3179,,,,0.009310624,-0.0080116,0.1911566,,,,
3186,,,,,,,-3.1718998,25.928091,-67.48683,
3193,0.24793166,1.0201144,9.215206,,,,,,,
3199,,,,-8.0937985E-4,-0.2295864,0.2044724,,,,
3206,,,,,,,-3.3271732,27.102715,-67.65906,
3213,0.57850766,1.0009506,9.790121,,,,,,,
3219,,,,-0.10999889,-0.14649585,0.17144923,,,,
3226,,,,,,,-4.40086,25.018013,-67.971146,
3233,0.61683536,0.94345903,10.08716,,,,,,,
3239,,,,-0.038093604,-0.02345792,0.08782605,,,,
3246,,,,,,,-2.7121506,26.971592,-67.17795,
3253,0.43717444,0.9722048,9.852403,,,,,,,
3259,,,,0.11690224,0.011163143,-0.0027213492,,,,
3266,,,,,,,-2.5562363,26.07789,-67.937546,
3273,0.21199948,0.9266907,9.55776,,,,,,,
3279,,,,0.15578435,-0.07831899,-0.046397153,,,,
3286,,,,,,,-1.4811401,27.13073,-67.613464,
3293,0.09462103,0.90992236,9.215206,,,,,,,
3299,,,,0.13181593,-0.12838636,-0.03627715,,,,
3306,,,,,,,-3.1733646,27.250141,-67.81169,
3313,0.19523114,0.95543647,9.198438,,,,,,,
3319,,,,0.058312744,-0.1725948,-0.0027213492,,,,
3326,,,,,,,-3.4777584,24.59674,-67.47902,
3333,0.30781865,1.0368828,9.30863,,,,,,,
3339,,,,-0.04235466,-0.17898639,0.022312343,,,,
3346,,,,,,,-4.866661,27.528543,-67.23799,
3354,0.2718864,1.0991652,9.852403,,,,,,,
3360,,,,-0.10041152,-0.054350566,0.050541826,,,,
3366,,,,,,,-4.866661,27.528543,-67.23799,
3374,0.32698244,1.072815,10.056019,,,,,,,
3380,,,,-0.07218204,0.016489461,0.07983657,,,,
3386,,,,,,,-3.0191898,26.379602,-67.02396,
3394,0.34614623,1.1997752,9.718257,,,,,,,
3400,,,,-0.05886624,0.008499985,0.06758604,,,,
3406,,,,,,,-3.789524,26.962198,-66.74034,
3414,0.34614623,1.2524759,9.591296,,,,,,,
3420,,,,-0.12384731,0.019685252,0.043617614,,,,
3426,,,,,,,-2.2481613,25.787743,-67.92651,
3434,0.3820784,1.0584421,9.703884,,,,,,,
3440,,,,-0.18456733,0.03513157,0.005800759,,,,
3446,,,,,,,-3.3267078,27.38595,-68.43614,
3454,0.17127633,0.90992236,10.175793,,,,,,,
3460,,,,-0.18030627,0.07561159,-0.028820302,,,,
3466,,,,,,,-3.3269196,26.66512,-67.34445,
3474,0.101807475,0.74463433,10.137465,,,,,,,
3480,,,,-0.046615712,0.10810213,-0.011243457,,,,
3486,,,,,,,-3.1723576,26.513096,-67.80313,
3494,0.16888088,0.73505247,9.313421,,,,,,,
3500,,,,0.064171694,0.0724158,-5.8190548E-5,,,,
3506,,,,,,,-3.6372814,27.130472,-65.50038,
3514,0.1880447,0.8404535,8.781625,,,,,,,
3520,,,,0.010908518,0.011695775,-0.014439248,,,,
3526,,,,,,,-2.712204,27.261778,-67.490845,
3534,-0.00598906,1.0201144,9.0547085,,,,,,,
3540,,,,-0.11905363,-0.014403181,-0.05758242,,,,
3546,,,,,,,-3.481247,26.52464,-66.727615,
3554,-0.31500578,1.1422838,9.548178,,,,,,,
3560,,,,-0.18350206,-0.02026213,-0.07409401,,,,
3566,,,,,,,-3.7899265,27.257017,-66.743774,
3575,-0.29823744,1.2452893,9.73263,,,,,,,
3581,,,,-0.16432732,-0.015468445,-0.050125573,,,,
3586,,,,,,,-1.4811974,27.420914,-67.926346,
3591,,,,,,,,,,705.0
3595,-0.06587604,1.2213346,9.751793,,,,,,,
3601,,,,-0.12171678,0.05696947,-0.05545189,,,,
3606,,,,,,,-3.171835,26.506145,-68.26735,
3615,-0.10659915,1.063233,9.533805,,,,,,,
3621,,,,-0.10946626,0.15231057,-0.110845596,,,,
3626,,,,,,,-2.4056854,27.860716,-67.18062,
3635,-0.56174004,1.0464647,9.593692,,,,,,,
3641,,,,-0.12917362,0.2114327,-0.17582668,,,,
3646,,,,,,,-2.5587463,27.413837,-67.334015,
3655,-0.91627085,1.0392781,9.948223,,,,,,,
3661,,,,-0.13982625,0.13899477,-0.17209826,,,,
3666,,,,,,,-3.3259563,27.0865,-68.74219,
3675,-0.94980764,1.0153234,9.806889,,,,,,,
3681,,,,-0.128641,-0.020794762,-0.12842245,,,,
3686,,,,,,,-3.0195007,27.107384,-67.65146,
3695,-0.7246326,1.0416737,9.58411,,,,,,,
3701,,,,-0.18456733,-0.11507058,-0.07143085,,,,
3706,,,,,,,-3.3272305,27.392899,-67.97194,
3715,-0.56413555,0.9290862,9.763771,,,,,,,
3721,,,,-0.28896317,-0.08737373,-0.03414662,,,,
3726,,,,,,,-3.1756802,27.570438,-66.11305,
3735,-0.8180562,0.787753,10.070392,,,,,,,
3741,,,,-0.31239897,0.0042389305,-0.022428725,,,,
3746,,,,,,,-3.4819794,28.560572,-68.60837,
3755,-0.94022566,0.893154,10.09195,,,,,,,
3761,,,,-0.23676524,0.011695775,0.074510254,,,,
3766,,,,,,,-3.0215073,29.449715,-68.76198,
3775,-0.46352547,1.0991652,10.113511,,,,,,,
3781,,,,-0.10094415,-0.071927406,0.23057136,,,,
3786,,,,,,,-3.17688,29.323133,-67.216736,
3791,,,,,,,,,,772.0
3796,0.041920513,1.4704643,9.821261,,,,,,,
3802,,,,0.048725374,-0.20828113,0.27211663,,,,
3806,,,,,,,-3.0164719,25.764488,-68.71918,
3816,0.11618033,1.8202043,9.457149,,,,,,,
3822,,,,0.12329382,-0.32226434,0.20713556,,,,
3826,,,,,,,-2.7126064,27.556595,-67.49426,
3836,0.077852696,1.9783058,9.349353,,,,,,,
3842,,,,0.064171694,-0.38085383,0.1357629,,,,
3846,,,,,,,-2.2499104,27.692478,-68.72244,
3856,0.077852696,2.02382,9.725443,,,,,,,
3862,,,,7.8851543E-4,-0.30948117,0.10114184,,,,
3866,,,,,,,-4.0971603,27.680676,-67.68489,
3876,0.08743459,2.1531758,9.802098,,,,,,,
3882,,,,0.024224313,-0.2077485,0.06705341,,,,
3886,,,,,,,-4.0937805,26.333149,-69.06209,
3896,-0.029943839,2.2561812,9.5362,,,,,,,
3902,,,,0.043399055,-0.11613585,0.022312343,,,,
3906,,,,,,,-4.096758,27.385859,-67.68147,
3916,-0.04192123,2.3112772,9.574528,,,,,,,
3922,,,,0.005582201,-0.022392657,0.019649185,,,,
3926,,,,,,,-3.635809,26.676662,-66.268906,
3936,0.06827077,2.2322264,9.9602,,,,,,,
3942,,,,-0.017853595,0.032468412,0.0073986542,,,,832.0
3946,,,,,,,-2.5600185,27.720238,-66.56377,
3956,0.15211254,2.0813112,9.85959,,,,,,,
3962,,,,0.051921163,0.054838944,-0.054386627,,,,
3966,,,,,,,-4.7142067,28.417648,-67.08972,
3976,-0.008384541,1.9615375,9.600878,,,,,,,
3982,,,,0.09186855,0.05004526,-0.13747719,,,,
3986,,,,,,,-4.251627,28.265663,-67.850266,
3996,-0.35093796,2.0621474,9.847611,,,,,,,
4002,,,,0.03221379,0.0037062988,-0.18008773,,,,
4006,,,,,,,-3.023018,29.180374,-67.05649,
4016,-0.35093796,2.0549612,10.379409,,,,,,,
4022,,,,0.010375887,-0.07938425,-0.15452142,,,,
4026,,,,,,,-5.7907124,28.396675,-67.42578,
4037,0.11138937,1.9184189,10.894437,,,,,,,
4043,,,,0.040735893,-0.2295864,-0.11990034,,,,
4046,,,,,,,-4.251316,27.537882,-67.22279,
4057,0.4132197,1.7459444,10.865691,,,,,,,
4063,,,,0.11636961,-0.2210643,-0.13321613,,,,
4066,,,,,,,-3.7921429,28.878517,-66.7626,
4077,0.33656436,1.5255604,11.023792,,,,,,,
4083,,,,0.17495911,-0.033577926,-0.1694351,,,,
4086,,,,,,,-3.6308098,25.018105,-68.725815,
4092,,,,,,,,,,904.0
4097,0.025152147,1.108747,11.186685,,,,,,,
4103,,,,0.21970017,0.13633162,-0.13055299,,,,
4106,,,,,,,-3.636715,28.714912,-67.99495,
4117,0.05868885,1.0704194,11.222617,,,,,,,
4123,,,,0.2687023,0.21356322,-0.01816767,,,,
4126,,,,,,,-4.555208,25.890865,-68.60414,
4137,0.37249655,1.618984,11.083679,,,,,,,
4143,,,,0.26603913,0.14645162,0.026573397,,,,
4146,,,,,,,-3.7877026,26.503757,-67.81833,
4157,0.600067,1.5351423,10.688425,,,,,,,
4163,,,,0.17495911,0.05963263,-0.059180308,,,,
4166,,,,,,,-5.7870865,25.74331,-67.39496,
4177,0.3820784,0.9746003,10.721962,,,,,,,
4183,,,,-0.022114651,-0.013870549,-0.18754458,,,,
4186,,,,,,,-2.2507248,27.413874,-67.63588,
4197,0.0059883296,0.35177588,11.500493,,,,,,,
4203,,,,-0.18456733,-0.048491616,-0.18381615,,,,
4206,,,,,,,-4.556288,25.181616,-66.7388,
4217,0.14732155,-0.16085654,12.096967,,,,,,,
4223,,,,-0.16539258,-0.10601584,-0.050658204,,,,
4226,,,,,,,-2.2529507,28.167133,-66.56131,
4238,0.8971064,-0.388427,11.737645,,,,,,,
4242,,,,,,,,,,985.0
4244,,,,-0.026375704,-0.23651062,0.080369204,,,,
4246,,,,,,,-3.7884636,25.934967,-66.418884,
4258,1.5175352,-0.30458525,10.48481,,,,,,,
4264,,,,0.12755488,-0.13850638,0.10859869,,,,
4266,,,,,,,-3.4803238,26.222874,-67.188385,
4278,1.7451057,-0.2399073,9.490685,,,,,,,
4284,,,,0.19999279,0.20397584,0.07770605,,,,
4286,,,,,,,-3.7875938,25.923386,-67.19255,
4298,1.7690606,-0.23272088,9.021172,,,,,,,
4304,,,,0.21490648,0.44259486,0.014322867,,,,
4306,,,,,,,-4.095484,27.07946,-68.45172,
4318,1.6085635,-0.06503737,8.498958,,,,,,,
4324,,,,0.27669176,0.48094434,-0.07143085,,,,
4326,,,,,,,-2.403471,26.239216,-67.16179,
4338,1.380993,0.06910941,7.5599303,,,,,,,
4344,,,,0.30225807,0.31636116,-0.17742456,,,,
4346,,,,,,,-3.7877846,26.939035,-68.287674,
4358,0.9258522,0.35656685,6.886801,,,,,,,
4364,,,,0.15418647,0.102775805,-0.2871467,,,,
4366,,,,,,,-2.4010906,26.496973,-69.64093,
4378,0.073061705,0.89794505,6.884405,,,,,,,
4384,,,,-0.1403589,-0.02345792,-0.37076986,,,,
4386,,,,,,,-2.4032593,26.960047,-68.25348,
4393,,,,,,,,,,1053.0
4398,-0.56174004,1.2740351,7.8402014,,,,,,,
4404,,,,-0.4892327,-0.070862144,-0.33028984,,,,
4406,,,,,,,-3.0149975,25.310678,-69.48772,
4418,-0.516226,1.3458996,9.301443,,,,,,,
4424,,,,-0.7646033,-0.16620322,-0.19340353,,,,
4426,,,,,,,-4.248808,26.201935,-67.82631,
4438,0.015570253,1.0871878,10.444087,,,,,,,
4444,,,,-0.7571465,-0.15235479,-0.079952955,,,,
4446,,,,,,,-3.4809818,26.955286,-67.50641,
4458,0.5186207,0.90752685,10.580628,,,,,,,
4464,,,,-0.4604706,-0.081514776,-0.008580298,,,,
4466,,,,,,,-3.0195942,26.67442,-67.027374,
4478,0.8659651,1.0776058,9.617647,,,,,,,
4484,,,,-0.12491258,-0.031447396,-0.022428725,,,,
4486,,,,,,,-3.1693287,25.1702,-68.870865,
4499,0.5305981,1.3698543,8.673828,,,,,,,
4505,,,,0.06736749,0.09744949,-0.1428035,,,,
4506,,,,,,,-6.7111273,27.479683,-68.67616,
4519,0.09222555,1.4417187,8.189941,,,,,,,
4525,,,,0.07056327,0.12780951,-0.22110038,,,,
4526,,,,,,,-3.6353054,27.683048,-67.98297,
4539,0.16648537,1.2261256,7.847388,,,,,,,
4545,,,,-0.0013420116,0.08679685,-0.21524143,,,,
4546,,,,,,,-4.2504997,27.816486,-68.30934,
4559,-0.08024889,1.1446793,8.2091055,,,,,,,
4565,,,,-0.0732473,0.10224317,-0.21896985,,,,
4566,,,,,,,-2.4038734,26.534035,-67.16521,
4579,-0.35333344,1.3842272,8.542076,,,,,,,
4585,,,,-0.06365992,0.058034733,-0.15026036,,,,
4586,,,,,,,-4.7125034,27.671337,-67.70009,
4599,-0.14492682,1.7627128,8.83193,,,,,,,
4605,,,,-0.05407256,-0.094297945,-0.009645563,,,,
4606,,,,,,,-3.7895145,27.830439,-67.83374,
4619,0.49227053,2.0884976,9.574528,,,,,,,
4625,,,,-0.036495708,-0.24556535,0.089956574,,,,
4626,,,,,,,-4.558695,27.818766,-67.85274,
4639,1.0935357,2.3232546,10.063206,,,,,,,
4645,,,,0.013039045,-0.29083908,0.036160767,,,,
4646,,,,,,,-4.5586395,27.52858,-67.539856,
4659,1.2013321,2.2442038,10.681239,,,,,,,
4665,,,,0.027952734,-0.1843127,-0.13641194,,,,
4666,,,,,,,-4.560398,28.565077,-67.24237,
4679,0.6527675,1.7579218,11.3376,,,,,,,
4685,,,,0.04819274,-0.088438995,-0.29886457,,,,
4686,,,,,,,-4.098984,28.139118,-66.6069,
4699,-0.12815847,1.3770406,11.8478365,,,,,,,
4705,,,,0.1547191,-0.056481093,-0.31857195,,,,
4706,,,,,,,-3.7864304,26.197357,-68.58858,
4720,-0.68870044,1.118329,12.43952,,,,,,,
4726,,,,0.31344336,-0.17792113,-0.19926247,-3.6345348,26.370264,-67.039154,
4740,-0.13055395,0.7925439,11.428628,,,,,,,
4746,,,,0.48921183,-0.38564754,-0.020830829,-4.5589886,27.533213,-67.23039,
4760,1.0528125,0.7087022,10.403364,,,,,,,
4766,,,,0.37842444,-0.4490307,0.07610814,-4.5589886,27.533213,-67.23039,
4780,1.6157498,0.48113173,11.375928,,,,,,,
4786,,,,-0.059398875,-0.2977633,-0.013373984,-5.0166874,25.73877,-68.45911,
4800,0.6503721,0.33261204,13.131814,,,,,,,
4806,,,,-0.37684742,0.033533674,-0.21151301,-5.0166874,25.73877,-68.45911,
4820,-0.8707568,0.5458096,14.034909,,,,,,,
4826,,,,-0.40614215,0.21090005,-0.3105825,-5.324791,26.174011,-68.62657,
4840,-1.1677961,0.028386295,14.219361,,,,,,,
4844,,,,,,,,,,1125.0
4846,,,,-0.26073366,0.16828953,-0.19180563,-6.404893,25.911493,-65.400345,
4860,-0.5904858,-0.7860763,13.723496,,,,,,,
4866,,,,0.027952734,0.02501157,0.011127076,-4.0985165,28.422356,-67.38399,
4880,0.20720854,-1.3106862,12.221532,,,,,,,
4886,,,,0.36404335,-0.1709969,0.14961132,-7.481471,27.194038,-67.29915,
4900,0.2647,-1.3442229,9.8931265,,,,,,,
