Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light,1_mag_acc
0,,,,0.03179645,-0.025261726,0.06921216,,,,,
2,0.06108433,-0.09138766,9.136155,,,,,,,,9.136816249864983
4,-0.001198113,-0.09378314,9.0595,,,,,,,,9.059985483587875
5,,,,-0.0081509305,0.010957235,0.06708164,,,,,
7,0.0059883296,-0.08899215,9.037941,,,,4.9570885,-8.577202,-47.02021,,9.038381104065817
9,0.0011973679,-0.14887914,8.973263,,,,,,,,8.974498052770752
10,,,,-0.05022884,0.045045663,0.06708164,,,,,
12,-0.039525762,-0.16804296,8.918167,,,,,,,,8.919837630930074
14,-0.056294113,-0.16564748,8.944517,,,,,,,,8.946227835131285
15,,,,-0.098698325,0.072742514,0.07187533,,,,,
17,-0.0682715,-0.13929722,8.982845,,,,5.263197,-8.551685,-45.620018,,8.984184381858876
19,-0.06348054,-0.12731981,9.01159,,,,,,,,9.0127129345762
20,,,,-0.14823307,0.09351516,0.07453848,,,,,
22,-0.0682715,-0.13690174,9.093037,,,,,,,,9.094323777362245
24,-0.07785343,-0.14408818,9.191251,,,,,,,,9.192710019639446
25,,,,-0.18604992,0.11322253,0.07720164,,,,,
27,-0.06348054,-0.11055148,9.267907,,,,6.798765,-6.609707,-45.44953,,9.268783715749217
29,-0.08024889,-0.11773792,9.363726,,,,,,,,9.364810019708257
30,,,,-0.21427941,0.13133201,0.07879954,,,,,
32,-0.087435335,-0.12252888,9.505059,,,,,,,,9.50625083078085
34,-0.089830816,-0.13929722,9.634415,,,,,,,,9.635840683781979
35,,,,-0.23505205,0.13399518,0.07560374,,,,,
37,-0.14013585,-0.14648366,9.73742,,,,6.3399944,-8.245159,-45.906303,,9.739529956599663
39,-0.16169517,-0.14408818,9.883545,,,,,,,,9.885917686216189
40,,,,-0.24623732,0.12174463,0.07507111,,,,,
42,-0.11857656,-0.1416927,9.996132,,,,,,,,9.997839375747077
44,-0.111390114,-0.18002033,10.099138,,,,,,,,10.101356513842793
45,,,,-0.24197625,0.09458042,0.07773427,,,,,
47,-0.12576298,-0.17762488,10.238075,,,,7.570114,-7.0611076,-46.818,,10.240388011728779
49,-0.104203686,-0.1967887,10.278799,,,,,,,,10.281210681774041
50,,,,-0.22706257,0.06368778,0.07507111,,,,,
52,-0.0682715,-0.21116155,10.288381,,,,,,,,10.290774207953046
55,-0.10659915,-0.2423028,10.331499,-0.20309414,0.030131977,0.07240795,,,,,10.334889724262643
57,-0.089830816,-0.2399073,10.45846,,,,7.2626896,-8.371613,-45.417595,,10.461596945958897
60,-0.09462176,-0.2399073,10.503974,-0.17326677,-0.0060869823,0.07613637,,,,,10.507139410074217
62,-0.10899465,-0.26625755,10.503974,,,,,,,,10.507913337544073
65,-0.09462176,-0.27104858,10.494391,-0.1386457,-0.036979627,0.079332165,,,,,10.498317154242699
67,-0.085039854,-0.27104858,10.55907,,,,4.649912,-8.4437275,-47.64846,,10.562890625884013
70,-0.039525762,-0.24469826,10.58542,,,,,,,,10.588321684795408
71,,,,-0.10455728,-0.058284897,0.08199533,,,,,
72,-0.039525762,-0.2399073,10.623748,,,,,,,,10.626529977653053
75,-0.05150315,-0.25428018,10.681239,,,,,,,,10.68438943316471
76,,,,-0.07206675,-0.08331859,0.08093006,,,,,
77,-0.101808205,-0.24948928,10.736335,,,,7.2604275,-5.5916862,-46.84272,,10.73971596661966
80,-0.087435335,-0.23511639,10.7387295,,,,,,,,10.741658900226884
81,,,,-0.035315152,-0.11314597,0.08039743,,,,,
82,-0.07785343,-0.27104858,10.688425,,,,,,,,10.692144661849081
85,-0.10659915,-0.2638621,10.714776,,,,,,,,10.718554534860246
86,,,,-0.00016145402,-0.14297333,0.0798648,,,,,
87,-0.14492682,-0.24469826,10.688425,,,,5.4161167,-7.379347,-46.248833,,10.692207910540617
90,-0.2024183,-0.25907114,10.623748,,,,,,,,10.628834018426472
91,,,,0.036590137,-0.16161545,0.08572374,,,,,
92,-0.20720926,-0.3093762,10.609375,,,,,,,,10.615907271692853
95,-0.18564996,-0.31895813,10.635725,,,,,,,,10.642126031576872
96,,,,0.076004885,-0.16960493,0.09424585,,,,,
97,-0.180859,-0.31895813,10.515951,,,,6.1847763,-7.3607254,-45.765648,,10.522341455254866
100,-0.13055395,-0.3309355,10.53751,,,,,,,,10.543513628725522
101,,,,0.1132891,-0.16161545,0.10383323,,,,,
102,-0.12097203,-0.3668677,10.45846,,,,,,,,10.465591799461013
105,-0.04910767,-0.37644956,10.288381,,,,,,,,10.295382918358987
106,,,,0.14524703,-0.13604912,0.11288796,,,,,
107,-0.003593579,-0.39800885,10.221307,,,,6.4928513,-7.650873,-45.754616,,10.22905375617595
110,0.041920513,-0.38124058,10.044042,,,,,,,,10.051362166742022
111,,,,0.17187862,-0.100895435,0.11768165,,,,,
112,0.05868885,-0.43873206,9.938641,,,,,,,,9.948493108429396
115,0.10899392,-0.4770597,9.8404255,,,,,,,,9.852585429876328
116,,,,0.1867923,-0.056687,0.118746914,,,,,
117,0.1449261,-0.46987328,9.68472,,,,6.184986,-6.6398907,-46.857338,,9.697194746529492
120,0.19044018,-0.47466418,9.560155,,,,,,,,9.573825628762961
121,,,,0.18572704,-0.013543826,0.117149025,,,,,
122,0.22876784,-0.47466418,9.447568,,,,,,,,9.462250362520395
125,0.23595428,-0.44591853,9.337376,,,,,,,,9.350995044540644
126,,,,0.16708493,0.026403556,0.10756165,,,,,
127,0.2647,-0.36926314,9.188856,,,,6.8002377,-7.0635147,-46.21807,,9.200081301015695
130,0.32219148,-0.34291288,9.126573,,,,,,,,9.138694180099446
131,,,,0.13512702,0.067948826,0.099572174,,,,,
132,0.3102141,-0.28781685,8.987636,,,,,,,,8.997592577766497
135,0.31500506,-0.218348,8.951704,,,,,,,,8.959905610024338
136,,,,0.09358173,0.1126899,0.086256385,,,,,
137,0.34854174,-0.20397511,8.855884,,,,7.7250404,-8.231096,-46.33631,,8.865087061697574
140,0.3533327,-0.23511639,8.784019,,,,,,,,8.794265944699246
141,,,,0.0376554,0.16275729,0.07081006,,,,,
142,0.35093725,-0.1752294,8.762461,,,,,,,,8.77123623399706
145,0.31979603,-0.17283392,8.700178,,,,,,,,8.707768847207092
146,,,,-0.025727777,0.20217204,0.057494268,,,,,
147,0.2814684,-0.11773792,8.6714325,,,,6.6489944,-8.837076,-46.356056,,8.676798273560399
150,0.2718864,-0.15127462,8.673828,,,,,,,,8.679406569503765
151,,,,-0.09070886,0.23626046,0.042580582,,,,,
152,0.21439496,-0.11534244,8.673828,,,,,,,,8.677243874118242
155,0.21918592,-0.057850927,8.774438,,,,,,,,8.777365858452352
156,,,,-0.16261414,0.26448995,0.028732156,,,,,
157,0.20720854,-0.07461932,8.772043,,,,6.341461,-9.567209,-45.58143,,8.774807223854847
160,0.16648537,-0.08899215,8.824743,,,,,,,,8.826761920276011
161,,,,-0.22919309,0.28472996,0.017546887,,,,,
163,0.14732155,-0.050664514,8.925353,,,,,,,,8.926712536353024
165,0.08743459,-0.03389615,9.018777,,,,,,,,9.01926451171282
166,,,,-0.2941742,0.29165417,0.007959516,,,,,
167,,,,,,,5.418434,-7.699642,-47.947487,,
168,0.07066625,-0.08420122,9.083455,,,,,,,,9.084120117070423
170,0.015570253,-0.06503737,9.174483,,,,,,,,9.174726732146523
171,,,,-0.3453068,0.28419733,-0.0026931195,,,,,
173,-0.06108506,-0.03389615,9.296652,,,,,,,,9.296914474310498
175,-0.046712205,-0.06264192,9.46194,,,,,,,,9.462262657728184
176,,,,-0.3831237,0.27460995,-0.009617331,,,,,
177,,,,,,,7.8767796,-6.319393,-46.818962,,
178,-0.111390114,-0.050664514,9.576922,,,,,,,,9.577703777240126
180,-0.15450874,-0.07222381,9.74221,,,,,,,,9.743702833808475
181,,,,-0.40123317,0.26076153,-0.016541544,,,,,
183,-0.22397761,-0.03868714,9.838031,,,,,,,,9.840656310508141
185,-0.21439569,-0.048269033,9.9602,,,,,,,,9.962624124769404
186,,,,-0.40602684,0.24478257,-0.019204704,,,,,
187,,,,,,,7.5670013,-5.282933,-46.219612,,
188,-0.25990978,-0.07461932,10.08716,,,,,,,,10.090783815059012
190,-0.3054239,-0.0985741,10.194957,,,,,,,,10.200007296258715
191,,,,-0.39910266,0.22187942,-0.016008914,,,,,
193,-0.3389606,-0.103365034,10.343477,,,,,,,,10.349545645492617
195,-0.38207918,-0.14887914,10.367431,,,,,,,,10.375537337308252
196,,,,-0.3799279,0.18672572,-0.010682597,,,,,
197,,,,,,,7.4175777,-7.5149345,-47.4356,,
198,-0.3916611,-0.17283392,10.408154,,,,,,,,10.41695443346431
200,-0.42519778,-0.19918418,10.393782,,,,,,,,10.404382334055358
201,,,,-0.3564921,0.14997414,-0.0048236465,,,,,
203,-0.42280233,-0.1752294,10.515951,,,,,,,,10.525905784647646
205,-0.40603396,-0.20397511,10.604584,,,,,,,,10.614314449611372
206,,,,-0.32400155,0.111092,0.0026331982,,,,,
207,,,,,,,6.1844826,-7.6462765,-45.143272,,
208,-0.40363848,-0.18960229,10.630934,,,,,,,,10.640283396755274
210,-0.43238425,-0.1967887,10.650098,,,,,,,,10.660688033222797
211,,,,-0.29044577,0.06528567,0.010090043,,,,,
213,-0.39645207,-0.20157966,10.662075,,,,,,,,10.671347239629961
215,-0.36531085,-0.19439322,10.681239,,,,,,,,10.68925195307093
216,,,,-0.251031,0.01575092,0.019677414,,,,,
217,,,,,,,7.107683,-6.766344,-46.36863,,
