Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
0,0.86756206,-1.1674898,10.056552,-0.015103439,0.032220062,0.029005963,3.2532692,-1.887139,-44.921764,
50,0.46879482,-1.0382006,9.7673645,-0.008072699,0.0372268,0.004771215,2.6993027,-1.7390789,-44.98885,
100,0.5300938,-1.04504,10.050976,-0.03550323,0.07461755,0.0182468,3.1296444,-1.090428,-45.419,
150,0.5629371,-1.0202343,9.999605,0.006042042,0.024283847,0.03987165,3.8687344,-1.7250426,-45.20755,
200,0.35536885,-1.1075494,9.777544,-0.029271444,0.1053504,0.10756916,3.77675,-1.933279,-45.23838,23.0
250,0.6241416,-1.063832,9.736822,-0.047807027,-0.04336039,0.11523904,3.561953,-2.0310154,-45.64497,
300,1.263375,-0.9105215,9.883185,-0.052494187,-0.004265215,-0.0014073137,3.1310284,-2.3535135,-45.094807,
350,1.1287491,-0.9428605,9.945108,0.031235522,-0.028606486,-0.072034284,3.9609108,-1.6061779,-45.237587,
400,0.8242838,-0.80859387,9.580397,-0.041521974,0.009849524,-0.13184884,3.3771317,-1.7993519,-45.745117,
450,0.56078124,-1.0253847,9.757543,-0.006451132,-0.065878876,-0.13987383,3.2550483,-1.8722283,-46.552082,
500,0.30398583,-0.97172606,9.522666,-0.07465167,0.01964995,-0.12396588,3.007317,-1.1600615,-46.00934,
550,0.39309767,-1.0107722,9.736223,-0.068899244,0.09688155,-0.068039544,3.2844028,-1.5635086,-45.657288,22.0
600,0.074259475,-0.6769624,9.050039,-0.091642626,0.2072961,-0.032885853,4.330241,-1.3417238,-45.664806,
650,0.31727445,-0.70526046,8.590112,-0.018459018,0.2531557,0.07300134,3.9600785,-0.6978008,-45.619556,
700,0.04491487,-0.77841085,8.702094,0.012167305,0.23419401,0.047328494,5.4994397,-1.5561291,-45.385612,20.0
750,0.14875884,-1.043231,8.318222,0.24892211,0.14870663,0.075984076,5.99078,-1.565169,-44.506603,
