Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
0,-0.5976723,1.351489,10.695613,0.17341153,-0.20096177,0.21537814,4.4941998,-4.9476223,-50.323814,
50,0.9707673,1.1592916,9.055428,0.21378502,0.067804225,0.15875939,2.7413216,-5.4487247,-50.54732,313.0
100,-0.6697762,1.7431896,10.188129,-0.14009553,0.33087105,-0.031656474,3.2650204,-5.9705324,-50.46634,
150,-0.27440244,1.8483511,10.607936,0.44169816,0.08740507,0.16648254,3.7564678,-6.357278,-49.211525,
200,0.12911591,2.1106558,9.007639,0.055114023,0.12804487,-0.063348055,3.9429257,-7.536991,-49.4099,291.0
250,-0.9124382,2.4673429,10.643991,0.13435186,-0.077894226,-0.21774024,3.7255204,-6.876372,-48.401512,
300,-0.5121537,1.7253431,9.934809,-0.04406201,-0.59170043,0.05660061,3.049477,-6.8977633,-49.16095,263.0
350,1.1053932,0.868121,10.853833,-0.61653465,0.10471561,-0.04486574,2.372247,-6.7007356,-49.11817,243.0
400,1.2786177,-0.3426607,13.8401165,0.038655695,-0.18626112,-0.3666286,3.3557835,-5.543416,-49.60235,221.0
450,1.3633862,1.4747764,11.331731,0.57719964,0.04351622,-0.20715861,3.6031966,-7.1486726,-48.741875,201.0
500,2.9854844,2.1365273,8.689758,-0.68300706,0.012836623,-0.377441,4.6494236,-7.510965,-48.371185,178.0
550,1.2163041,0.6739678,13.649836,-1.1799524,0.197287,-0.41227508,5.47426,-3.9466426,-47.46335,123.0
600,0.9663358,0.37369457,10.944983,-0.36481288,0.0015448332,-0.35895866,6.305113,-3.0096111,-48.722607,
650,-1.0726955,1.7097727,5.7148123,-0.27762106,-0.42264318,-0.38138244,6.888677,-2.7846391,-48.06068,134.0
700,-0.38926563,-0.5065241,6.932315,-0.58010256,0.053316634,0.30257002,7.3504014,-1.5358595,-49.79702,149.0
750,-0.071146086,-0.91375524,9.755747,0.5269725,-0.02402149,0.404782,6.088804,-1.1768353,-50.173042,171.0
800,-1.6466522,-0.036052078,6.3197913,1.0898045,0.064608425,0.4852627,7.324913,-4.6748333,-50.658943,190.0
850,0.27667737,-1.1489913,10.718728,0.36771557,0.27467838,0.59972525,7.450972,-6.5363417,-51.03663,203.0
900,-0.61503965,0.42028666,12.173741,0.69954526,0.13571478,0.3666988,8.252255,-7.52612,-50.974293,
950,0.72427243,-0.03820803,12.903883,-0.9404813,-0.057204444,0.015002069,7.701143,-8.40988,-52.33969,222.0
1000,-0.5060137,-1.2697109,16.523432,-0.08912264,-0.42312247,-0.1042542,8.927608,-5.324633,-52.313965,
1050,1.0808396,-1.5987425,7.158208,-0.19655447,-0.10301079,-0.20438893,8.86524,-5.1408005,-51.79145,254.0
1100,-0.6612722,-0.15067574,6.908839,-0.26675534,-0.20708701,0.063950926,10.12312,-3.2794228,-50.822174,
1150,0.682711,-0.057491623,5.787515,-0.3048385,-0.07334319,0.06837177,11.19821,-1.6476036,-51.216713,238.0
1200,0.7964963,-0.07893114,7.098681,0.83579236,-0.098217115,0.4228382,13.28902,-1.9450823,-49.520763,207.0
