Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
0,-0.033645954,-0.12862647,9.056016,-0.07659411,0.05170356,0.071165144,5.673017,-7.9128647,-46.02992,
50,-0.09498109,-0.20481355,10.225139,-0.18562382,0.039080188,0.07730816,6.6166277,-7.5426583,-46.52662,
100,-0.011139336,-0.36123833,10.18813,0.10471375,-0.10297269,0.10180924,6.2157936,-7.2188706,-46.168903,
150,0.18912265,-0.13115256,8.954817,-0.12644844,0.218151,0.03986416,6.802142,-8.130884,-46.60805,
200,-0.33345097,-0.16708477,10.428997,-0.31803608,0.11551285,0.0024201453,7.1691117,-6.7640214,-46.27426,
250,0.044795077,-0.3168022,10.239153,0.016829502,-0.09146786,7.656589e-05,6.7692275,-6.5107775,-46.689526,
300,-0.22888835,-0.18361355,9.950021,0.12292975,0.08664421,-0.09132304,6.4309287,-6.89408,-46.353027,
350,-0.58607316,0.17299753,9.721157,0.06071835,-0.20832726,-0.031774815,6.6459746,-7.0022535,-45.91308,
400,-0.27033013,0.5012537,9.269941,-0.07973664,-0.13136196,0.06473806,5.847448,-7.554332,-46.545616,
450,-0.29057193,0.7082231,9.841743,-0.018430715,0.20691247,0.04353932,6.5844393,-6.626873,-46.38326,
500,-0.29715943,0.8569824,9.665318,0.1449807,-0.19383967,-0.086476095,6.1847296,-6.7522597,-46.4846,
550,-0.71936256,1.3478159,9.409959,-0.027911568,-0.20917948,-0.07475819,5.724465,-7.6441817,-46.51668,
600,-0.6288134,0.9020173,10.261431,0.03696298,0.11125181,-0.092441574,5.5400114,-7.156911,-47.269775,223.0
650,-0.6440248,0.9391473,10.334254,0.0050050747,-0.1522944,-0.02570281,6.215249,-6.545883,-46.51719,207.0
700,-0.78535795,1.0013099,10.40576,0.13661838,-0.08694048,0.005402884,5.202105,-7.776995,-46.992424,184.0
750,0.029344246,0.72582984,10.61704,0.08002921,-0.17055184,0.013345014,5.879113,-7.7105393,-47.16208,161.0
800,0.29703897,0.3806414,10.276163,0.072755836,-0.13658178,-0.16551864,5.3256593,-7.955261,-47.203957,138.0
850,0.092584886,0.1910393,10.94594,-0.19031098,0.11972064,-0.09627654,5.910236,-7.9463897,-47.18952,117.0
900,1.2296996,-0.20725313,11.542477,0.21885672,-0.09381144,-0.12823442,7.1109033,-8.198613,-47.497215,98.0
950,1.1800122,0.05653315,9.383368,0.42221552,-0.10212048,-0.3554551,6.833824,-8.75046,-46.661995,84.0
1000,0.6242613,0.4044764,8.480515,0.0014364406,0.07998631,-0.27167216,7.203639,-9.216103,-46.616447,
1050,0.91052115,0.5813826,9.479787,-0.14013709,0.3432129,-0.32301784,8.034883,-9.239466,-47.02883,
1100,-0.5855752,1.2715197,8.845106,0.17816368,0.22134678,-0.2377435,9.509822,-8.786702,-45.82119,92.0
1150,-0.56269825,1.7253431,7.499804,0.11802955,-0.16481122,-0.015476282,10.280787,-9.406656,-46.63056,
1200,-0.17115736,1.7835535,8.971106,-0.27228302,0.10741685,0.2334758,9.050797,-9.260951,-47.498573,
1250,1.2074406,1.6714451,9.757662,0.12095902,-0.1343447,0.21829581,9.481022,-9.276484,-46.99244,101.0
1300,0.2521237,1.8421227,9.973135,0.13257039,0.08126462,0.08614986,10.159551,-10.09865,-47.430336,
1350,0.44436088,1.624374,11.600504,0.09555248,0.08893452,0.41750008,10.253642,-10.931542,-48.006447,110.0
1400,0.89638776,1.4741775,12.30717,0.544135,-0.09652786,0.27768427,10.224604,-12.547023,-47.555134,124.0
1450,0.5146681,0.4690346,9.707598,0.4310572,-0.0064065605,-0.13989905,10.041552,-13.236244,-48.10885,134.0
1500,-1.3895671,-0.6920224,10.913221,-0.8725591,0.2594832,-0.23444119,10.194509,-12.44068,-48.29998,143.0
1550,-1.3817124,-0.562219,12.023066,-0.21694258,0.18880299,0.37616786,11.209772,-12.135087,-48.587788,170.0
1600,-0.25847247,-0.1723548,9.127413,0.020078557,-0.24795508,0.24727097,10.870814,-11.785978,-48.569313,194.0
1650,-0.35141706,-0.30805865,9.015543,-0.084370546,0.001849231,0.11911978,11.117723,-12.371414,-48.52544,211.0
1700,-0.2730849,-0.21068248,9.135915,-0.06295875,0.007974495,0.10894649,11.210115,-12.1107,-48.92855,226.0
1750,-0.39776963,0.43154526,8.536566,0.251294,0.17090656,0.26756424,11.764333,-12.426134,-48.880157,
1800,0.38734847,1.1086273,7.530347,0.2777658,0.037056185,0.15139726,11.979704,-12.422865,-48.874836,248.0
1850,-0.046712197,1.4128532,8.099391,-0.0036531528,0.01965689,-0.13703471,11.918955,-13.273674,-48.52602,
1900,-0.28015164,1.2098364,9.74748,0.14226428,-0.240658,-0.021867862,12.535051,-13.390139,-49.03554,
1950,0.8887221,0.49873835,9.073994,-0.1291116,-0.7217843,-0.2330031,11.826602,-12.463946,-49.497223,
2000,-0.38243848,0.07581676,12.340227,-0.3502603,-0.025155198,-0.05867272,12.0397215,-11.0123625,-49.261116,265.0
2050,2.2187798,-1.3429619,11.877591,-0.5689589,0.2467533,-0.041894816,11.82334,-10.075918,-49.52497,
2100,0.35800397,-1.873025,13.0444975,-0.43116707,0.25708634,-0.45372567,13.788564,-7.7077074,-48.88445,
2150,0.62725574,-0.9027363,9.402652,-0.06892421,0.019106496,-0.30048752,14.003084,-7.0563035,-48.917614,
2200,0.29416442,-0.48412633,8.425537,-0.49865156,0.3619083,-0.43870544,15.292353,-5.550094,-48.06726,
2250,-0.08575849,-0.57743025,8.776354,-0.68517923,-0.30015296,-0.5142859,15.751123,-3.3646789,-48.29782,238.0
2300,-1.3657824,-0.85207194,10.923781,-0.1758767,0.14880233,-0.15603782,16.179035,-1.6126921,-47.90507,212.0
