Date created: 2021-10-22-21-50-17-175000000
Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
31615320,0.9014182,-1.1731857,10.106803,-0.01680786,0.041061748,0.03660484,3.5607643,-1.7112646,-44.967743,
31615340,0.74319685,-1.1268332,9.90181,-0.008685226,0.018025422,0.009351849,2.637702,-1.9417529,-44.678505,
31615360,0.41172254,-1.0142457,9.817969,-5.6259194E-4,0.040262803,-0.0042302613,2.6373453,-1.4304538,-44.993965,
31615380,0.4296886,-1.0346072,9.695499,-0.017207334,0.044257537,0.01561027,2.7923489,-2.0949345,-45.21456,
31615400,0.5090388,-1.0549688,9.905404,-0.034651022,0.07461754,0.016276062,3.7903557,-0.60682726,-45.284355,
31615420,0.5477087,-1.0540277,10.105299,-0.03864576,0.07714754,0.016808692,2.4844522,-1.3729815,-45.927025,
31615440,0.5686263,-0.99538124,10.260234,-0.022799969,0.06236702,0.029325541,2.9444675,-1.2737436,-44.67862,
31615460,0.6300105,-1.0462854,10.168306,0.012220571,0.022286478,0.035717122,4.56159,-2.2868843,-45.013565,
31615480,0.4793948,-1.013647,9.694001,0.010223201,0.010834895,0.047168706,3.7150812,-1.4982395,-45.66281,
31615500,0.28925365,-1.0361043,9.632618,-0.025063653,0.07435123,0.08605082,3.7165174,-2.6751962,-45.494385,
31615520,0.38417447,-1.1427032,9.776347,-0.038512602,0.12495126,0.12213663,4.2529316,-1.192934,-45.498207,23.0
31615540,0.40872818,-1.1825281,10.053324,-0.015076807,0.0956565,0.11627767,2.9454613,-1.938242,-44.74827,
31615560,0.2706887,-1.063952,9.6817255,-0.03291997,-0.060138285,0.11894083,4.3304806,-1.7790875,-45.334724,
31615580,1.095931,-1.0031666,9.641901,-0.08112314,-0.07984567,0.113614514,3.101367,-2.3252764,-46.13279,
31615600,1.3989592,-0.9585508,9.712866,-0.07499788,-0.04455881,0.029991329,3.024087,-2.2492652,-45.90345,
31615620,1.2312756,-0.8777034,9.934448,-0.0492984,0.017892266,-0.018744478,3.4076605,-2.3746233,-44.809105,
31615640,1.0555074,-0.90135884,10.122793,-0.0030925928,0.024283849,-0.030462373,2.561347,-2.1675096,-44.909943,
31615660,1.1642021,-0.98280513,10.042543,0.030463208,-0.01206827,-0.05642817,4.1754866,-1.621273,-44.489204,
31615680,1.1303661,-0.9130368,9.758082,0.043779,-0.06772829,-0.1079603,4.561267,-1.4865575,-45.719284,
31615700,0.9863379,-0.8130256,9.252037,-0.014943648,-0.04575723,-0.13898611,3.8679323,-1.3380728,-44.96443,
31615720,0.72882396,-0.76751137,9.694003,-0.06341314,0.057307012,-0.12686872,2.947174,-1.8163118,-46.452057,
31615740,0.6569596,-0.9175283,10.017391,-0.039844185,0.0013806811,-0.1323282,2.94808,-2.479653,-46.44435,
31615760,0.53988063,-1.0007712,9.885042,-0.003358909,-0.073320925,-0.14364663,3.177063,-1.3671083,-46.2194,
31615780,0.55066025,-1.0861101,9.496376,0.0043198657,-0.08428427,-0.13667803,3.6402006,-2.1778045,-46.662773,
31615800,0.54467154,-1.0501779,9.2990465,-0.045836292,-0.059206184,-0.15057084,3.5611486,-0.9927497,-46.214172,
31615820,0.15031591,-0.9127373,9.543685,-0.09417262,0.026414374,-0.12859978,3.637041,-0.6161108,-45.75235,
31615840,0.23445708,-0.98759604,9.909296,-0.08525104,0.1852718,-0.043911327,1.7931376,-2.2644677,-45.701736,
31615860,0.5461687,-1.1010817,9.7877245,-0.075929984,0.13041073,-0.05003659,3.332385,-1.8911295,-46.90589,22.0
31615880,0.26709545,-0.9046526,9.607466,-0.05768735,0.008438053,-0.10689504,3.4055872,-1.0444674,-44.592415,
31615900,0.15061536,-0.76661307,8.72593,-0.041708395,0.12561704,-0.06787976,4.2529573,-1.338027,-45.34176,
31615920,0.01317477,-0.6348618,9.069081,-0.124000005,0.28087917,-0.020875003,4.9463053,-1.5590582,-46.018402,
31615940,0.068270765,-0.5749749,9.57393,-0.09816737,0.18127707,0.026396066,3.0229464,-1.7275429,-45.522614,
31615960,0.19912377,-0.62677705,8.67832,0.008758465,0.19965285,0.078327656,3.6361618,-0.09786272,-45.603607,
31615980,0.580561,-0.87334013,7.9764013,-0.020136809,0.36370343,0.08431977,4.867428,-0.37632084,-45.724518,
31616000,0.21229893,-0.8492572,8.612443,-0.078060515,0.31483448,0.023200274,5.5607557,-0.95892525,-45.93267,
31616020,-0.08503986,-0.72768664,8.81606,0.035922684,0.18820128,0.048100807,6.1776266,-2.1277013,-45.826416,20.0
31616040,0.028146502,-0.7977543,8.575613,0.17693694,0.17089075,0.10016556,4.7134085,-1.2445784,-44.480186,
31616060,0.23056443,-1.0480819,8.256116,0.25576642,0.16383338,0.08511871,5.791171,-1.4574571,-44.992584,
31616080,0.09821426,-1.1313246,8.290551,0.262158,0.11949178,0.051696073,6.482587,-2.014583,-43.498672,
31616100,0.25661528,-1.1627655,8.518719,0.23858906,0.021487528,0.025064487,5.86874,-1.6820364,-45.297585,
31616120,0.3048243,-1.2043868,8.821749,0.2752075,0.039197534,0.0064223735,4.7916813,-1.9850893,-44.77919,
31616140,0.19373396,-1.1777371,9.420019,0.37867123,0.23986655,-0.0059613143,4.63694,-1.3240829,-44.790695,
31616160,0.03742899,-1.161867,10.046437,0.48493126,0.21696338,-0.002232892,5.8711023,-3.1607594,-45.589935,22.0
31616180,0.3332706,-1.0879066,10.051528,0.49545076,-0.065730914,-0.013684476,6.1010046,-2.7841024,-45.279045,
31616200,0.5620388,-1.1100647,9.567042,0.35177332,-0.120059356,-0.05389817,6.6394596,-2.9210238,-45.109306,
31616220,0.20241754,-1.0825168,10.848023,0.09065059,0.104045466,-0.04417764,6.794142,-3.725965,-44.863983,23.0
31616240,-0.025751757,-1.36159,13.150678,-0.031987865,0.1057765,0.012148166,6.7154703,-2.256516,-45.115105,
31616260,-0.023056848,-1.3684772,14.8062525,0.09504481,0.008704368,0.027594484,5.7934847,-3.5867815,-44.4262,
31616280,-0.2838646,-0.9618447,14.541253,0.22833592,-0.20434833,0.045570806,5.1779423,-4.389498,-43.271484,
31616300,0.22188084,-0.5767715,13.76362,0.14218272,-0.43511105,0.15755662,5.6399174,-4.0992575,-44.03717,
31616320,1.0594001,-0.5061049,13.383338,-0.103094205,-0.44403264,0.22173876,4.565281,-4.362192,-45.763268,
31616340,1.640004,-0.6273759,13.965141,-0.3682117,-0.3345768,0.18605241,5.562148,-3.7272696,-43.733887,
31616360,1.9600999,-1.0256243,14.388542,-0.60003966,-0.36919785,0.092975035,5.179641,-4.195022,-45.053482,
31616380,2.0050151,-2.0979004,14.460106,-0.84771335,-0.3019531,0.0066886903,5.4084225,-2.9350681,-44.83023,
31616400,1.5932922,-3.202216,15.242529,-0.9120287,-0.09382725,-0.1284666,4.0241394,-1.9462214,-46.346382,
31616420,0.47160944,-3.1962273,14.878417,-0.7194823,-0.20208463,-0.33259773,4.3295746,-1.115746,-45.34243,20.0
31616440,-0.5803051,-1.6966577,12.2969885,-0.59924066,-0.56254315,-0.36934933,4.174716,-0.30848885,-45.433014,
31616460,0.15810125,-1.3744658,8.258811,-0.87248087,-0.59822947,-0.21954666,3.0960054,0.7853694,-45.16298,16.0
31616480,0.6449822,-2.1655726,7.9968057,-1.3888673,-0.0721225,-0.20223613,4.7882023,0.81104994,-45.121185,
31616500,0.35453045,-2.7994764,10.905516,-1.4770178,0.15597707,-0.26442087,4.0174236,1.9061027,-45.07566,
31616520,-0.21170078,-2.8024704,13.148281,-0.85184133,-0.04229512,-0.34524775,4.246686,3.3767467,-45.551277,13.0
31616540,-0.9508342,-2.1918802,11.576464,0.11781481,-0.39809313,-0.30210456,3.171133,1.5340052,-44.473343,
31616560,-0.8114686,-1.2475054,7.473694,0.6262119,-0.6502943,-0.122474514,3.015728,3.8682113,-45.974503,9.0
31616580,-0.0110794455,-0.42765296,4.1562552,0.516756,-0.5552195,-0.0066271047,3.0165567,2.6993618,-45.264503,
31616600,0.30512372,-0.23511636,3.7002158,0.34085435,-0.16053937,0.057954498,3.4796066,1.8898249,-45.630524,
31616620,0.12426507,-0.3450089,4.000549,0.30583382,0.43800557,0.16701084,2.4027548,1.8734827,-45.65712,10.0
31616640,0.0059883334,-0.4749636,4.5997176,0.3352617,0.86184734,0.27473563,4.1708164,2.420895,-45.309944,
31616660,0.558745,-0.78188425,4.6578083,0.31209224,0.6466641,0.20389558,3.6338139,1.3083138,-45.233047,
31616680,0.71714604,-0.7624211,4.6742773,0.4581665,0.20910707,0.07446609,4.86631,0.9410958,-46.358864,
31616700,0.6722308,-0.5564099,3.4010804,0.5838676,0.04159438,0.00988448,4.3269405,0.8731179,-45.4429,
31616720,0.27338362,-0.45070943,2.9770808,0.63899493,0.3158997,-0.010888157,4.7122593,-0.21618938,-44.724266,12.0
31616740,-0.24583635,-0.7181047,4.4269443,0.7608345,0.57475877,-0.0017002607,4.944556,-1.0292287,-45.095985,
31616760,-0.15061608,-1.1094661,4.8410616,1.0183619,0.2615713,0.011216059,5.021373,-0.95435715,-45.094948,14.0
31616780,-0.19972338,-1.026223,3.780165,1.0166309,-0.11326829,0.0037592151,5.0224276,-1.4749212,-45.398422,
31616800,0.0023951093,-1.0735338,4.5062943,0.990532,0.027745955,0.04863344,5.177965,-2.2188978,-46.004997,
31616820,-0.21978553,-0.923517,5.853152,1.0983899,0.59047145,0.13811557,5.640586,-3.96343,-44.812546,18.0
31616840,-0.6788191,0.15145399,6.6888742,1.0423305,0.482214,0.17593242,6.6400337,-3.2181582,-45.260612,
31616860,0.40453607,-1.5927538,7.3952413,0.35803172,-0.5501595,0.17167138,5.6399775,-3.9553227,-44.27098,23.0
31616880,1.275592,-3.4836848,11.82508,-0.28059375,-0.23590675,-0.1776019,6.3372297,-6.4716177,-45.61738,
31616900,-0.78961,-2.4057193,20.8746,0.13854305,0.47533417,-0.30818546,4.488085,-4.721459,-45.06459,
31616920,-1.8819482,-1.3636863,20.27573,0.8389982,-0.13856833,0.17180455,5.027461,-5.1601477,-45.355614,25.0
31616940,1.5759251,-1.6777934,15.624309,0.5745466,0.06303282,0.7450495,4.7977743,-5.7567596,-45.58657,
31616960,3.5309346,-1.716121,18.151241,-0.46461803,0.5127072,0.5462447,6.0285873,-6.3910017,-44.852173,28.0
31616980,2.4481788,-0.56030256,20.621576,-1.1873993,-0.09981935,-0.058825023,5.6440287,-6.10781,-45.25193,
