Date created: 2021-10-22-21-42-26-209000000
Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
31169893,-0.6719321,1.3435041,10.726753,,,,,,,
31169894,,,,0.1542368,-0.1916407,0.19380654,4.4941998,-4.9476223,-50.323814,
31169895,-0.60725415,1.338713,10.674053,,,,,,,
31169898,-0.51383054,1.3722497,10.686029,,,,,,,
31169899,,,,0.19258627,-0.21028282,0.23694973,,,,
31169900,-0.38207918,1.3291311,10.652493,,,,,,,
31169903,-0.21439569,1.2548712,10.621352,,,,,,,
31169904,,,,0.23892523,-0.18897755,0.27370134,2.802002,-4.973303,-50.36561,
31169905,-0.04910767,1.2141482,10.575838,,,,,,,
31169908,0.13773966,1.1542612,10.525533,,,,,,,
31169909,,,,0.29325366,-0.15222596,0.29553923,,,,
31169910,0.37249655,1.1015606,10.345872,,,,,,,
31169913,0.54976195,1.0608375,10.123093,,,,,,,
31169914,,,,0.3321358,-0.119202785,0.29553923,2.6498146,-5.431761,-51.292656,
31169915,0.79170537,1.0201144,9.804494,,,,,,,
31169918,1.0576034,1.0129279,9.392472,,,,,,,
31169919,,,,0.34811476,-0.08032067,0.27583185,,,,
31169920,1.2540326,0.95304096,9.083455,,,,,,,
31169921,,,,,,,,,,313.0
31169923,1.3977613,0.94825006,8.736111,,,,,,,
31169924,,,,0.32947263,-0.023329072,0.23055814,2.3402386,-4.5427113,-50.691597,
31169925,1.5390946,1.008137,8.439071,,,,,,,
31169928,1.6397046,1.0416737,8.163591,,,,,,,
31169929,,,,0.27248105,0.059761476,0.17196864,,,,
31169930,1.6636595,1.1494702,8.000699,,,,,,,
31169933,1.6732414,1.2117527,7.9096704,,,,,,,
31169934,,,,0.20164101,0.16309205,0.10752021,3.10952,-5.9796505,-48.953423,
31169935,1.6804278,1.2476848,7.8641562,,,,,,,
31169938,1.5295126,1.2548712,7.912066,,,,,,,
31169939,,,,0.119615726,0.2696184,0.03827808,,,,
31169940,1.4265071,1.2979898,8.039026,,,,,,,
31169943,1.3019422,1.3147583,8.103704,,,,,,,
31169944,,,,0.03652517,0.35270897,-0.024572466,2.8050327,-6.3161983,-51.43331,
31169945,1.1103039,1.3003854,8.331275,,,,,,,
31169948,0.935434,1.3099674,8.484585,,,,,,,
31169949,,,,-0.034314852,0.3969174,-0.07677038,,,,
31169950,0.74140024,1.3842272,8.649873,,,,,,,
31169953,0.5425755,1.4417187,8.788811,,,,,,,
31169954,,,,-0.09769803,0.3969174,-0.11458723,4.1888084,-5.995735,-51.093086,
31169955,0.35812366,1.4992101,8.879839,,,,,,,
31169958,0.17367181,1.5543061,8.980449,,,,,,,
31169959,,,,-0.15895067,0.36123106,-0.13695778,,,,
31169960,-0.06108506,1.6022156,9.102619,,,,,,,
31169963,-0.27667814,1.67408,9.28228,,,,,,,
31169964,,,,-0.21008334,0.31222895,-0.14334935,0.95651245,-6.021599,-49.62554,
31169965,-0.55694914,1.7866676,9.414031,,,,,,,
31169968,-0.78451955,1.839368,9.548178,,,,,,,
31169969,,,,-0.25535703,0.26748788,-0.12950093,,,,
31169971,-0.94022566,1.9208143,9.780539,,,,,,,
31169973,-1.0456268,1.9711194,10.067997,,,,,,,
31169974,,,,-0.26760757,0.2610963,-0.09647776,4.188286,-5.9887867,-50.628883,
31169976,-1.1749825,1.9447691,10.271612,,,,,,,
31169978,-1.2133102,1.9184189,10.571047,,,,,,,
31169979,,,,-0.23937808,0.2776079,-0.044812474,,,,
31169981,-1.2684063,1.8800912,10.83455,,,,,,,
31169983,-1.3139204,1.8896731,10.983068,,,,,,,
31169984,,,,-0.18185385,0.30743524,0.013777019,2.9553986,-5.399296,-49.42826,
31169986,-1.2731972,1.8537409,11.179499,,,,,,,
31169988,-1.2157056,1.8321817,11.335205,,,,,,,
31169989,,,,-0.09769803,0.34791526,0.07023598,,,,
31169991,-1.1630051,1.7603173,11.45977,,,,,,,
31169993,-1.0743725,1.729176,11.510075,,,,,,,
31169994,,,,0.0035020027,0.38466686,0.11444442,4.0360966,-6.4472466,-51.555946,
31169996,-0.9641805,1.7076168,11.53882,,,,,,,
31169998,-0.8851297,1.67408,11.584333,,,,,,,
31169999,,,,0.1041694,0.3921237,0.15066338,,,,
31170001,-0.82284725,1.6165885,11.593916,,,,,,,
31170003,-0.75577384,1.5567017,11.534029,,,,,,,
31170004,,,,0.19258627,0.36389425,0.1746318,4.4934406,-5.5164127,-48.924355,
31170006,-0.73181903,1.5926337,11.526843,,,,,,,
31170008,-0.7174462,1.6860574,11.605894,,,,,,,
31170009,,,,0.26395893,0.31222895,0.18901287,,,,
31170011,-0.64318633,1.729176,11.567566,,,,,,,
31170013,-0.63120896,1.8202043,11.483724,,,,,,,
31170014,,,,0.33639684,0.24831311,0.20073076,4.3404446,-5.385235,-49.85827,
31170016,-0.5497627,1.8657182,11.407069,,,,,,,
31170018,-0.4275933,1.9064415,11.296877,,,,,,,
31170019,,,,0.40670422,0.18972364,0.20712234,,,,
31170021,-0.346147,1.8753003,11.179499,,,,,,,
31170023,-0.25511882,1.8872776,11.105239,,,,,,,
31170024,,,,0.4732832,0.13592783,0.20392655,3.2629719,-6.6958294,-47.703194,
31170026,-0.17606804,1.8800912,11.042955,,,,,,,
31170028,-0.17127708,1.8896731,10.841736,,,,,,,
31170029,,,,0.5313401,0.06934886,0.19007812,,,,
31170031,-0.111390114,1.9256053,10.647702,,,,,,,
31170033,-0.087435335,1.904046,10.324313,,,,,,,
31170034,,,,0.57395065,-0.012143806,0.16504443,4.034935,-6.721218,-50.15992,
31170036,-0.058689594,1.9160234,10.027273,,,,,,,
31170038,0.027547628,1.9327918,9.701488,,,,,,,
31170039,,,,0.58620113,-0.09044067,0.14054337,,,,
31170041,0.099411994,1.94956,9.323003,,,,,,,
31170043,0.209604,1.9830968,8.994822,,,,,,,
31170044,,,,0.5585043,-0.15275858,0.11444442,2.650547,-7.467695,-49.41189,
31170046,0.31979603,2.0022607,8.625918,,,,,,,
31170048,0.34135532,2.0477746,8.328879,,,,,,,
31170049,,,,0.49405584,-0.19004281,0.07929072,,,,
31170051,0.33416885,2.1076615,8.022258,,,,,,,
31170053,0.34614623,2.1771305,7.8018737,,,,,,,
31170054,,,,0.3976495,-0.19803229,0.036680184,4.0355377,-7.1634445,-50.154793,
31170056,0.37249655,2.2418084,7.6150265,,,,,,,
31170058,0.32937795,2.2609723,7.5000434,,,,,,,
31170059,,,,0.28047052,-0.18365122,-0.0011366699,,,,
31170061,0.23834974,2.3160682,7.4401565,,,,,,,
31170063,0.08024815,2.3615823,7.3706875,,,,,,,
31170064,,,,0.15050837,-0.15275858,-0.037355628,5.5748158,-8.310106,-49.48417,
31170066,-0.001198113,2.404701,7.4712977,,,,,,,
31170068,-0.02036193,2.4286556,7.6653314,,,,,,,
31170069,,,,0.032264117,-0.074994355,-0.057595633,,,,
31170071,0.0083838105,2.4190736,7.914461,,,,,,,291.0
31170074,0.05629337,2.3520005,8.278574,-0.0417717,0.0650878,-0.058660895,2.6500053,-6.4474106,-50.197548,
31170076,0.11618033,2.2489948,8.640291,,,,,,,
31170078,0.104202926,2.1675487,8.954099,,,,,,,
31170079,,,,-0.08225171,0.22221418,-0.052801948,,,,
31170081,0.10899392,2.028611,9.318212,,,,,,,
31170084,0.12576225,1.858532,9.754189,-0.09610014,0.3521763,-0.05919353,3.2669544,-8.485586,-49.075233,
31170086,0.17367181,1.7435489,10.171001,,,,,,,
31170089,0.16888088,1.6836619,10.7051935,-0.07958855,0.42727742,-0.0938146,,,,
31170091,0.13773966,1.678871,11.081284,,,,,,,
31170094,0.051502436,1.7818766,11.371137,-0.03751064,0.43047318,-0.13855566,4.187315,-7.278408,-48.13775,
31170096,-0.025152892,1.9184189,11.514866,,,,,,,
31170099,-0.12336751,2.0334017,11.562775,0.027470434,0.39265636,-0.1710462,,,,
31170101,-0.15450874,2.1388028,11.478932,,,,,,,
31170104,-0.25272334,2.1915033,11.375928,,,,2.64682,-6.115532,-47.725243,
31170105,,,,0.09085361,0.33939317,-0.1912862,,,,
31170106,-0.30781937,2.205876,11.248967,,,,,,,
31170109,-0.20960474,2.0453792,11.148356,,,,,,,
31170110,,,,0.1292031,0.25843316,-0.20992833,,,,
31170111,0.3916604,1.4752553,10.892041,,,,,,,
31170114,-0.056294113,1.6644982,11.23699,,,,2.3414917,-6.5855923,-49.275032,
31170115,,,,0.13026837,0.113557294,-0.24721254,,,,
31170116,-0.5832994,1.9375826,11.404674,,,,,,,
31170119,-0.96897143,2.129221,11.153148,,,,,,,
31170120,,,,0.13133362,-0.03984066,-0.28236622,,,,
31170121,-1.1965418,2.3448138,10.927973,,,,,,,
31170124,-1.301943,2.5436387,10.714776,,,,5.2654934,-7.85865,-48.568504,
31170125,,,,0.16062838,-0.13358384,-0.27917042,,,,
31170126,-1.3977622,2.6849718,10.580628,,,,,,,
31170129,-1.4744173,2.7520452,10.460855,,,,,,,
31170130,,,,0.18566206,-0.1932386,-0.25147358,,,,
31170131,-1.4911858,2.85026,10.360245,,,,,,,
31170134,-1.4312987,2.8646326,10.23568,,,,3.1103249,-6.5692863,-48.94657,
31170135,,,,0.1744768,-0.27206808,-0.21365675,,,,
31170136,-1.4312987,2.9245198,10.139861,,,,,,,
31170139,-1.4145304,2.9628475,9.976968,,,,,,,
31170140,,,,0.13133362,-0.3594197,-0.16678515,,,,
31170141,-1.3881801,2.914938,9.8404255,,,,,,,
31170144,-1.347457,2.8718193,9.735024,,,,5.2634716,-7.2528,-47.49221,
31170145,,,,0.07540729,-0.41428077,-0.117783025,,,,
31170146,-1.2181013,2.8382823,9.751793,,,,,,,
31170149,-1.0144855,3.005966,10.216516,,,,,,,
31170150,,,,0.030133592,-0.43931445,-0.06931354,,,,
31170151,-0.82284725,2.57478,10.276402,,,,,,,
31170154,-0.7485874,2.0932887,10.216516,,,,4.340418,-7.989956,-46.578056,
31170155,,,,-0.002889578,-0.492045,-0.0352251,,,,
31170156,-0.8707568,1.9902831,10.324313,,,,,,,
31170159,-1.2013328,2.0837069,10.386595,,,,,,,
31170160,,,,-0.019401163,-0.5538303,-0.026702993,,,,
31170161,-1.3714119,2.1579666,10.28359,,,,,,,
31170164,-1.2468469,2.059752,10.020087,,,,3.2660465,-6.447338,-50.801277,
31170165,,,,-0.0034222102,-0.568744,0.011646492,,,,
31170166,-1.0072991,1.8968595,9.948223,,,,,,,
31170169,-0.8995026,1.6932439,10.005713,,,,,,,
31170170,,,,0.0024367392,-0.5639503,0.065974936,,,,
31170171,-0.78451955,1.508792,10.1901655,,,,,,,
31170172,,,,,,,,,,263.0
31170174,-0.6407909,1.4273458,10.295567,,,,3.2660465,-6.447338,-50.801277,
31170175,,,,-0.0183359,-0.60283244,0.10219389,,,,
31170176,-0.5856949,1.4273458,10.386595,,,,,,,
31170179,-0.48748025,1.4321368,10.343477,,,,,,,
31170180,,,,-0.050826438,-0.66035664,0.12190126,,,,
31170181,-0.35093796,1.4513005,10.202143,,,,,,,
31170184,-0.116181076,1.4201592,10.115906,,,,3.2647934,-7.154272,-48.781197,
31170185,,,,-0.08118645,-0.69124925,0.1341518,,,,
31170187,0.03712955,1.4297413,10.072787,,,,,,,
31170189,-0.022757411,1.5758654,9.878754,,,,,,,
31170190,,,,-0.119003296,-0.69497776,0.13148864,,,,
31170192,-0.06348054,1.6956394,9.581714,,,,,,,
31170194,0.029943138,1.7267805,9.037941,,,,1.1100807,-6.449911,-48.84295,
31170195,,,,-0.17812543,-0.64970404,0.12989074,,,,
31170197,0.23595428,1.5638881,8.621127,,,,,,,
31170199,0.67432684,1.2979898,8.50854,,,,,,,
31170200,,,,-0.27932546,-0.5575587,0.13042337,,,,
31170202,0.88752437,1.173425,8.484585,,,,,,,
31170204,0.885129,1.3458996,8.65706,,,,2.1895046,-7.1914597,-50.200386,
31170205,,,,-0.42899498,-0.47979447,0.111781254,,,,
31170207,0.8539877,1.3003854,8.570823,,,,,,,
31170209,0.83721936,1.2548712,8.4270935,,,,,,,
31170210,,,,-0.57600135,-0.38764918,0.08301915,,,,
31170212,0.8491968,1.3123628,8.316901,,,,,,,
31170214,0.88273346,1.4297413,8.4270935,,,,1.5734024,-7.7695885,-48.81614,
31170215,,,,-0.6910498,-0.20868492,0.048930716,,,,
31170217,1.0791627,1.5183738,8.676224,,,,,,,
31170219,1.3929703,1.4249502,8.951704,,,,,,,
31170220,,,,-0.74271506,0.07307728,4.612254E-4,,,,
31170222,1.6516821,1.293199,9.375703,,,,,,,243.0
31170224,1.771456,1.0225099,9.931454,,,,1.8778515,-5.406374,-48.83593,
31170225,,,,-0.75869405,0.35803527,-0.057063006,,,,
31170227,1.7307329,0.85482633,10.575838,,,,,,,
31170229,1.5654448,0.64402425,11.205849,,,,,,,
31170230,,,,-0.75603086,0.54925007,-0.12204409,,,,
31170232,1.3235015,0.5386232,11.816696,,,,,,,
31170234,1.1150949,0.4955046,12.434729,,,,3.263668,-6.7050953,-48.32212,
31170235,,,,-0.72354037,0.6254164,-0.17637253,,,,
31170237,0.9833436,0.39968544,13.028808,,,,,,,
31170239,0.8923154,0.33500752,13.505507,,,,,,,
31170240,,,,-0.6558961,0.5934585,-0.2179178,,,,
31170242,0.8539877,0.33979848,13.8552475,,,,,,,
31170244,0.87315154,0.28709796,14.149892,,,,2.956808,-6.43116,-49.416283,
31170245,,,,-0.5530982,0.48160586,-0.24987571,,,,
31170247,0.8515923,0.24158387,14.327157,,,,,,,
31170249,0.82763755,0.15055569,14.358299,,,,,,,
31170250,,,,-0.43751708,0.3282079,-0.2818336,,,,
31170252,0.8635696,0.10504159,14.382253,,,,,,,
