Date created: 2021-10-22-22-16-6-722000000
Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
33194660,0.49706143,-0.37884507,10.937555,-0.030077195,0.0086099235,-0.0062960587,,,,
33194680,0.54826474,-0.3533931,10.348866,0.044624407,-0.078741685,-5.7026686E-4,-3.6083326,-52.299217,-25.2527,
33194700,0.70516866,-0.30338746,9.5427885,0.06113599,-0.057436418,0.009549736,-4.6838007,-53.20233,-25.423756,
33194720,0.57987654,-0.13963942,9.250455,-0.03247404,0.013669924,0.015675,-4.3749933,-52.778595,-26.968624,
33194740,0.5841969,-0.1072577,9.821861,-0.12368722,0.13577576,0.055888698,-4.1446886,-52.696754,-26.654316,
33194760,1.1258744,-0.20307684,10.716871,-0.08626985,0.1356426,0.044437118,-3.7600012,-53.198746,-26.097263,
33194780,1.174383,-0.17403167,10.697409,0.045689672,0.07944995,0.0048892084,-3.2993393,-52.384468,-26.327377,
33194800,0.72433245,0.007425837,10.158126,0.1032139,0.041100457,0.011813423,-3.4542933,-52.44429,-25.247189,
33194820,0.74529284,0.21223927,9.809584,0.036634933,-0.067955896,0.03551554,-3.91333,-53.135483,-26.643482,
33194840,1.0519142,0.22780986,10.064703,-0.0045108707,-0.2097691,0.042040274,-3.4544172,-51.791374,-25.95119,
33194860,1.6489872,0.31374764,9.801498,0.021588085,-0.32228753,0.013011842,-3.9905138,-53.567295,-25.866577,
33194880,1.9490209,0.42364025,8.96428,-0.05417878,-0.17528118,-0.022008695,-3.607356,-53.325287,-24.853882,
33194900,1.7735521,0.3227307,9.548477,-0.15125093,0.06253889,-0.035723962,-3.3773441,-52.1541,-25.635544,
33194920,1.5923939,0.114922926,10.503973,-0.1544467,0.1289847,-0.019212378,-4.2227697,-51.596985,-26.978527,
33194940,1.9301565,-0.183913,11.250465,-0.042327724,0.10301891,-0.03798765,-3.2231646,-52.590515,-25.394512,
33194960,1.9978286,-0.23811072,10.993249,0.10254811,0.02099361,-0.115485564,-3.8371782,-52.762318,-26.413761,
33194980,1.7151622,-0.11923508,10.598894,0.18404078,0.03271151,-0.17953454,-3.7620306,-51.652107,-26.1926,
33195000,1.4854957,-0.050065648,10.350064,0.2121371,0.0019520256,-0.21801718,-3.760131,-52.97995,-26.254559,
33195020,1.0626938,0.11192859,10.087759,0.19922078,-0.04651747,-0.23333035,-3.6849852,-51.86974,-26.033401,
33195040,0.909982,0.31793976,10.201842,0.19629131,0.025654137,-0.19218454,-3.2987242,-52.89924,-26.244019,
33195060,0.9261515,0.28080985,10.681238,0.28071344,0.022192031,-0.18046665,-4.991396,-52.701492,-26.133648,
33195080,0.9270498,0.268533,9.706579,0.29269764,-0.069331855,-0.21686314,-3.3766718,-52.959053,-25.239296,
33195100,0.39046264,0.40447643,9.386183,0.22185764,-0.043188516,-0.21961507,-2.6833925,-52.817352,-26.307041,
33195120,0.09432159,0.40208092,9.787426,0.21200395,0.094496794,-0.11708346,-2.0695553,-52.643234,-25.133057,
33195140,0.20870571,0.26643696,10.124889,0.31213874,0.20421894,-0.027867645,-3.2241173,-52.143654,-25.090176,
33195160,0.09971141,0.38890576,10.210827,0.4277198,0.0568131,-0.05090397,-2.6085892,-52.6433,-24.60479,
33195180,-0.021559672,0.89105797,8.980149,0.5002909,-0.24385752,-0.09431346,-2.99166,-54.261368,-23.97652,
33195200,0.004191721,1.2138487,7.8503823,0.351154,-0.27488333,-0.077136084,-4.0687275,-54.057755,-24.08305,
33195220,0.18475091,1.1446793,8.469614,0.13543813,-0.04611799,-0.030264486,-2.6082191,-53.227142,-24.21111,
33195240,0.20032154,0.9224986,9.726641,0.0671281,0.08504258,-0.053833447,-3.3003302,-54.035664,-23.367756,
33195260,-0.040723503,1.0374817,9.297551,0.14902024,0.017930975,-0.09657715,-4.0689106,-53.548775,-24.553246,
33195280,0.036102924,1.1635008,8.296712,0.03397177,-0.008700607,-0.12653768,-3.6094513,-52.79083,-23.62201,
33195300,-0.29224876,1.1243176,8.688201,-0.16097145,0.0434973,-0.14424768,-2.5323248,-52.85051,-23.74929,
33195320,-0.851593,1.088086,9.19724,-0.25591305,0.08544205,-0.084060304,-2.5313463,-53.44246,-23.897175,
33195340,-0.66474557,0.96202403,9.512844,-0.29839045,0.17705472,0.05948396,-2.6850777,-54.459282,-22.728489,
33195360,-0.053000327,0.63623893,10.2782,-0.26190513,0.3252595,0.14736821,-2.531725,-53.726852,-23.197449,
33195380,0.032039158,0.54191697,10.994449,-0.10384669,0.2935679,0.13897926,-2.685938,-53.57946,-23.048233,
33195400,0.23475653,0.5691656,10.217714,-0.026082456,-0.04172378,0.091974504,-1.9956207,-52.4576,-22.657143,
33195420,0.8806374,0.33261204,9.334082,-0.1611046,-0.282207,-0.016682375,-2.2249928,-53.34787,-22.807297,
33195440,0.5689258,0.4664594,10.229092,-0.20770988,-0.10457433,-0.06475239,-2.1490278,-52.89984,-22.501068,
33195460,0.47669983,0.47514305,10.539007,-0.07455195,0.07825153,-0.024671853,-2.7624435,-54.38212,-22.421776,68.0
33195480,0.54227614,0.34009793,10.606979,0.033305984,0.048290987,-0.03266133,-2.994851,-52.9887,-22.675838,
33195500,0.69858104,0.364951,10.164413,0.117728114,-0.13733117,-0.09058504,-2.7649355,-52.684593,-22.286732,
33195520,0.6162365,0.6676796,9.540392,0.12451918,-0.11482749,-0.13812241,-2.6105127,-53.48606,-21.809322,
33195540,0.30961522,1.0581425,10.009906,0.108806536,-0.07075221,-0.15383504,-1.7642078,-53.18651,-22.333412,
33195560,0.1287566,1.2911028,9.984454,0.15021865,-0.18833067,-0.15796293,-2.5322704,-53.140694,-23.436398,
33195580,0.0050900225,1.5126847,9.780838,0.17924708,-0.22281857,-0.11308873,-2.3031416,-53.260277,-21.804287,
33195600,0.42639482,1.55221,9.683223,0.20814234,-0.13333644,-0.033593435,-3.303567,-52.979477,-21.755043,
33195620,1.0686824,1.5096903,9.445171,0.15314813,-0.014160087,-0.0967103,-2.3056183,-53.01021,-19.872688,61.0
33195640,0.5368863,1.653419,10.725555,0.09256126,-0.030405354,-0.22747138,-2.996704,-52.81929,-21.207588,
33195660,0.22936669,1.7438483,10.974984,0.20641132,-0.22707963,-0.2449151,-2.3067255,-52.199463,-19.882107,
33195680,0.33057567,1.5845491,10.043144,0.24396184,-0.17701223,-0.19538033,-3.843668,-53.761337,-19.283192,
33195700,0.47160947,1.1380918,10.52134,0.19003287,0.07412363,-0.12893453,-2.9970894,-53.537804,-19.961163,
33195720,0.58210087,0.8332671,11.655899,0.19562551,0.043097835,-0.13386136,-3.2295513,-53.229115,-18.809784,
33195740,0.9135753,0.78176427,11.67656,0.22585237,-0.18992856,-0.20430191,-2.7661572,-54.47741,-18.938568,
33195760,0.6898975,1.1482725,11.3657465,0.24036658,-0.33653548,-0.31189352,-3.4623604,-52.915794,-17.348942,
33195780,0.1572029,1.2946961,10.190166,0.14342761,-0.3123007,-0.29338458,-3.7686539,-52.866447,-18.67263,56.0
33195800,0.18594864,0.8808772,9.784431,-0.20145147,-0.041057993,-0.13519293,-3.4611778,-53.65516,-17.495117,
33195820,0.5401801,0.027188558,11.341193,-0.5170358,0.20315367,0.03631448,-3.3859272,-52.184532,-17.819805,
33195840,1.268705,-0.9241159,12.860525,-0.5378084,0.22845368,0.12406556,-3.309763,-52.318035,-16.965157,
33195860,1.7885666,-1.5954059,13.359041,-0.31809783,0.17439155,0.06361186,-3.311243,-50.92344,-17.368256,
33195880,2.1235912,-1.7011491,12.190391,-0.15577827,-0.17608014,-0.09311504,-3.3881054,-51.214794,-17.057262,52.0
33195900,2.2047381,-1.376562,10.104227,-0.2611062,-0.37009126,-0.22827034,-3.7720318,-51.51892,-17.295437,
33195920,1.5420889,-0.80853397,10.141958,-0.3804157,0.05867731,-0.19165191,-5.464196,-51.255577,-17.72749,
33195940,0.942321,-0.5037094,11.648712,-0.21130513,0.3831832,-0.07180977,-4.542655,-50.787758,-16.936165,
33195960,1.1534226,-0.3782462,11.4085655,0.054744415,0.21260786,-0.02879975,-4.389162,-50.346672,-17.169598,
33195980,1.5621511,-0.15965877,10.016493,0.1532813,-0.026676932,-0.06555134,-4.3885994,-50.57126,-17.399132,46.0
33196000,1.9912412,-0.039585426,8.929845,0.10055075,0.0577452,-0.14398137,-4.623601,-49.215652,-15.253971,
33196020,1.4525578,0.30177027,9.085251,0.0033454471,0.22033103,-0.20603296,-3.4687319,-49.502228,-15.840988,
33196040,1.0420327,0.48502436,8.901399,-0.088533536,0.15907839,-0.16781662,-4.006686,-50.167946,-15.459747,
33196060,1.1725863,0.30027306,8.357325,-0.25151885,0.16174155,-0.1413182,-6.083107,-49.84252,-16.28899,
33196080,0.92345667,0.08947098,9.580815,-0.2915994,0.26174316,-0.122010306,-5.236143,-50.275383,-16.495056,
33196100,0.60845125,0.15295117,10.3389845,-0.11409985,0.15321945,-0.094047144,-5.0084743,-48.6388,-15.734524,
33196120,0.5572479,0.24068555,9.713465,0.067660734,-5.7797506E-4,-0.08512556,-4.7767735,-49.516277,-15.486446,42.0
33196140,0.7434963,0.32482675,8.619032,0.11027127,-0.088994846,-0.07034504,-5.7795763,-46.743423,-16.394707,
33196160,0.78811204,0.54012036,8.329778,0.05301336,-0.0454522,-0.07101083,-5.933399,-48.193207,-14.601955,
33196180,0.7129539,0.7566117,8.640291,0.045556515,0.0055472907,-0.047441863,-6.0095625,-48.059708,-15.456596,
33196200,0.64258677,0.9141145,9.110404,0.15234919,0.020594139,-0.007095006,-5.624135,-48.35448,-15.830513,
33196220,0.8584793,0.94196194,9.280183,0.33885908,-0.08655361,0.0048892084,-5.856739,-47.754448,-14.914654,
33196240,1.119287,1.088685,8.242043,0.48324665,-0.1284096,-0.012554482,-5.7788715,-48.634262,-14.670387,
33196260,1.1597106,1.4483062,8.028845,0.44503033,-0.019486401,-0.005896585,-6.627136,-47.74991,-13.850521,
33196280,1.4301003,1.433035,8.703471,0.3219924,-0.031603776,-0.03186238,-5.550311,-47.58847,-13.98037,
33196300,1.2381626,1.4054871,9.17598,0.28164554,-0.10830275,-0.10469978,-5.2437344,-48.220505,-12.185635,
33196320,0.8593775,1.3755436,9.479008,0.27432185,-0.111498535,-0.108428195,-6.1655855,-49.33545,-11.886127,
33196340,0.77044535,1.1937866,9.790719,0.20454709,-0.13906223,-0.0831282,-6.088971,-49.11317,-11.886791,
33196360,0.4832874,1.2542725,10.959115,0.1801792,-0.011097452,0.0036907876,-6.0900335,-48.085938,-12.208244,
33196380,1.1019198,1.274634,11.3723345,0.2606066,0.006346238,0.14004453,-7.3980875,-48.027443,-11.931931,
33196400,1.9202752,1.2327131,10.949532,0.28257766,-0.10177801,0.11900556,-7.3200674,-49.27114,-11.373909,
33196420,1.898074,1.1515235,10.792115,0.173255,-0.2362675,-0.011356059,-7.3988104,-47.873085,-11.46944,
33196440,1.6307216,1.118329,10.807899,0.041428618,-0.19671962,-0.04943923,-7.6289883,-48.17372,-11.626446,
33196460,1.2806824,1.0638318,11.107634,-0.054578252,0.07159363,-0.010557113,-7.7046843,-49.13189,-11.539852,
33196480,1.130965,0.854527,11.566069,-0.10198248,0.19236788,0.014343422,-6.399638,-48.426697,-10.045296,38.0
33196500,0.88572776,0.4457984,10.936656,-0.20331566,0.03577414,-0.055165023,-7.3223457,-48.227703,-10.612228,
33196520,0.10779615,-0.02341595,10.041046,-0.50771475,-0.05770273,-0.07540503,-8.322373,-48.67584,-10.012856,
33196540,-0.29554254,-0.787873,10.905517,-0.82116854,0.022058874,0.032586057,-8.013134,-48.692017,-11.397854,
33196560,-0.1293562,-1.1139574,12.966526,-0.68534744,0.12751997,0.18811454,-8.937004,-46.95796,-12.833794,
33196580,0.6704341,-1.4196806,13.035396,-0.07122299,0.08504258,0.21567823,-7.860018,-48.101204,-11.4782715,33.0
33196600,0.5635359,-0.93579376,10.229392,0.3555482,-0.083135895,0.08491712,-10.013247,-46.982407,-13.401958,
33196620,0.140734,-0.15037632,7.8479867,0.20587867,-0.3458565,-0.040384494,-9.783737,-46.8176,-12.469574,
33196640,-0.38417524,0.36435214,7.546456,-0.16097145,-0.47515288,-0.041183434,-8.63127,-46.782722,-11.280579,
33196660,-0.5937796,0.19457261,8.575014,-0.23926832,-0.00563797,0.14363977,-9.705217,-47.489037,-13.078899,
33196680,-0.34405097,-0.20966439,9.964392,-0.044191934,0.37692478,0.28492033,-10.089739,-47.85761,-12.697285,30.0
33196700,0.20631023,-0.3620767,9.779042,0.20920762,0.0830452,0.28372192,-10.476082,-46.39283,-12.956001,
33196720,0.9773548,-0.31805983,7.774626,0.2307792,-0.272087,0.1714698,-10.321354,-46.981285,-13.022724,
33196740,0.93782943,0.061324097,7.417699,0.0620681,-0.20763858,0.0150092095,-11.320774,-47.87165,-12.418213,
33196760,-0.004491888,0.5314368,7.5608287,-0.007440345,0.07625416,0.006487106,-10.553892,-45.8032,-12.887386,
33196780,-0.60755354,0.63504124,8.412122,-0.03473772,0.4576185,0.17253506,-11.553516,-46.546154,-12.284588,28.0
33196800,-0.12097203,0.23888892,9.456551,0.038499143,0.4717332,0.32646564,-11.245628,-46.761444,-12.197052,
33196820,0.76715165,0.051742196,9.317015,0.1307776,0.10568206,0.29823613,-11.169361,-46.53453,-11.888256,
33196840,1.1222814,0.16313195,8.941223,0.18031237,-0.22428331,0.15162925,-11.937997,-47.132362,-11.668301,
33196860,0.9261515,0.40687186,8.270789,0.21719712,-0.14492117,0.07972396,-11.478759,-46.58858,-10.270302,
33196880,1.0144848,0.6413293,7.7156367,0.08483811,0.08184679,0.06214712,-11.478355,-46.8834,-10.266876,
33196900,0.6842082,0.6389339,8.769947,-0.09066406,0.27452633,0.07173449,-12.092615,-47.124275,-10.975807,
33196920,0.5045473,0.4577758,10.135069,-0.14512564,0.2128742,0.091308706,-13.0172205,-46.538223,-10.309151,26.0
33196940,0.4251971,0.29368556,11.322029,-0.027147721,0.100755215,0.07652818,-11.709042,-45.87473,-11.5997925,
33196960,0.36710674,0.2212223,10.916595,0.18390761,0.057345726,0.102627136,-10.706539,-47.051563,-12.41243,
33196980,0.9689707,0.04036366,9.470624,0.09189548,0.08517574,0.14750136,-11.55299,-47.49389,-11.577164,
33197000,1.3067331,-0.12047561,10.598765,-0.16882777,0.20701526,0.1214024,-11.478508,-46.08539,-11.127323,
33197020,1.3229027,-0.047071293,12.344002,-0.10690931,0.2926358,0.1055566,-12.398842,-47.43766,-11.908379,
33197040,1.6513826,0.04186085,12.753028,0.12025812,0.08064837,0.029390268,-11.167923,-47.711487,-11.71983,
33197060,2.1310773,0.15205285,11.497798,0.239035,-0.14478803,-0.12480663,-11.55472,-46.602486,-11.123234,
33197080,2.0208852,0.36255553,10.239872,0.10827391,-0.057702728,-0.2730114,-11.783011,-48.158417,-11.420422,23.0
33197100,1.7555859,0.31374764,9.275093,-0.24166515,0.14576261,-0.34797937,-12.322893,-47.351204,-11.133671,
33197120,1.5657444,-0.18930283,10.245263,-0.62329584,0.28011894,-0.38579622,-12.015894,-46.54158,-11.52232,
33197140,1.105513,-0.7405623,11.59152,-0.6770916,0.3461653,-0.34917775,-11.092274,-46.969795,-11.494385,
33197160,0.8803381,-1.2028897,12.023905,-0.5314169,0.39809686,-0.25210562,-11.858688,-47.380104,-13.520634,
33197180,1.0878463,-1.2909235,12.245188,-0.2909336,0.29689685,-0.23785771,-9.475332,-47.473953,-12.299534,
33197200,1.040835,-0.8797995,11.878679,-0.00903824,-0.12987433,-0.34971038,-11.860058,-46.56588,-13.297951,
33197220,0.7384059,-0.17163618,9.897918,0.12278812,-0.5288155,-0.40683514,-11.704505,-47.382404,-13.826305,21.0
33197240,0.49646255,0.22571382,7.801575,-0.07828037,-0.4696934,-0.29511562,-10.245268,-46.24539,-13.18412,
