Date created: 2021-10-22-21-28-53-142000000
Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
30327220,0.06108433,-0.09138766,9.136155,0.03179645,-0.025261726,0.06921216,,,,
30327225,0.0023951083,-0.091387644,9.04872,-0.0081509305,0.010957235,0.06708164,4.9570885,-8.577202,-47.02021,
30327230,-0.019164197,-0.15846105,8.945715,-0.05022884,0.045045663,0.06708164,,,,
30327235,-0.062282808,-0.15247235,8.963681,-0.098698325,0.072742514,0.07187533,5.263197,-8.551685,-45.620018,
30327240,-0.06587602,-0.13211077,9.052313,-0.14823307,0.09351516,0.07453848,,,,
30327245,-0.07066698,-0.12731983,9.229579,-0.18604992,0.11322253,0.07720164,6.798765,-6.609707,-45.44953,
30327250,-0.08384211,-0.1201334,9.434393,-0.21427941,0.13133201,0.07879954,,,,
30327255,-0.114983335,-0.14289044,9.685917,-0.23505205,0.13399518,0.07560374,6.3399944,-8.245159,-45.906303,
30327260,-0.14013585,-0.14289044,9.939838,-0.24623732,0.12174463,0.07507111,,,,
30327265,-0.11857655,-0.1788226,10.168607,-0.24197625,0.09458042,0.07773427,7.570114,-7.0611076,-46.818,
30327270,-0.086237594,-0.20397513,10.28359,-0.22706257,0.06368778,0.07507111,,,,
30327275,-0.098214984,-0.24110505,10.3949795,-0.20309414,0.030131977,0.07240795,7.2626896,-8.371613,-45.417595,
30327280,-0.101808205,-0.25308242,10.503974,-0.17326677,-0.0060869823,0.07613637,,,,
30327285,-0.08983081,-0.27104858,10.526731,-0.1386457,-0.036979627,0.079332165,4.649912,-8.4437275,-47.64846,
30327290,-0.039525762,-0.24230278,10.604584,-0.10455728,-0.058284897,0.08199533,,,,
30327295,-0.07665568,-0.25188473,10.708787,-0.07206675,-0.08331859,0.08093006,7.2604275,-5.5916862,-46.84272,
30327300,-0.08264438,-0.25308248,10.713577,-0.035315152,-0.11314597,0.08039743,,,,
30327305,-0.12576298,-0.25428018,10.701601,-1.6145402E-4,-0.14297333,0.0798648,5.4161167,-7.379347,-46.248833,
30327310,-0.20481378,-0.28422368,10.616562,0.036590137,-0.16161545,0.08572374,,,,
30327315,-0.18325448,-0.31895813,10.575838,0.076004885,-0.16960493,0.09424585,6.1847763,-7.3607254,-45.765648,
30327320,-0.12576298,-0.3489016,10.497985,0.1132891,-0.16161545,0.10383323,,,,
30327325,-0.026350625,-0.3872292,10.254844,0.14524703,-0.13604912,0.11288796,6.4928513,-7.650873,-45.754616,
30327330,0.05030468,-0.40998632,9.991341,0.17187862,-0.100895435,0.11768165,,,,
30327335,0.12696001,-0.4734665,9.762573,0.1867923,-0.056687,0.118746914,6.184986,-6.6398907,-46.857338,
30327340,0.20960401,-0.47466418,9.503861,0.18572704,-0.013543826,0.117149025,,,,
30327345,0.25032714,-0.40759084,9.263116,0.16708493,0.026403556,0.10756165,6.8002377,-7.0635147,-46.21807,
30327350,0.3162028,-0.31536487,9.057104,0.13512702,0.067948826,0.099572174,,,,
30327355,0.3317734,-0.21116155,8.903793,0.09358173,0.1126899,0.086256385,7.7250404,-8.231096,-46.33631,
30327360,0.35213497,-0.2051729,8.77324,0.0376554,0.16275729,0.07081006,,,,
30327365,0.3006322,-0.14528592,8.685805,-0.025727777,0.20217204,0.057494268,6.6489944,-8.837076,-46.356056,
30327370,0.24314068,-0.13330853,8.673828,-0.09070886,0.23626046,0.042580582,,,,
30327375,0.21319723,-0.066235125,8.773241,-0.16261414,0.26448995,0.028732156,6.341461,-9.567209,-45.58143,
30327380,0.15690346,-0.06982833,8.875048,-0.22919309,0.28472996,0.017546887,,,,
30327385,0.07905042,-0.059048682,9.051116,-0.2941742,0.29165417,0.007959516,5.418434,-7.699642,-47.947487,
30327390,-0.022757404,-0.04946676,9.235567,-0.3453068,0.28419733,-0.0026931195,,,,
30327395,-0.07905116,-0.056653216,9.519431,-0.3831237,0.27460995,-0.009617331,7.8767796,-6.319393,-46.818962,
30327400,-0.18924317,-0.055455476,9.790121,-0.40123317,0.26076153,-0.016541544,,,,
30327405,-0.23715273,-0.06144418,10.02368,-0.40602684,0.24478257,-0.019204704,7.5670013,-5.282933,-46.219612,
30327410,-0.32219225,-0.10096957,10.269217,-0.39910266,0.22187942,-0.016008914,,,,
30327415,-0.38687015,-0.16085653,10.387793,-0.3799279,0.18672572,-0.010682597,7.4175777,-7.5149345,-47.4356,
30327420,-0.42400005,-0.18720679,10.454866,-0.3564921,0.14997414,-0.0048236465,,,,
30327425,-0.40483624,-0.1967887,10.617759,-0.32400155,0.111092,0.0026331982,6.1844826,-7.6462765,-45.143272,
30327430,-0.41441816,-0.19918418,10.656086,-0.29044577,0.06528567,0.010090043,,,,
30327435,-0.36770633,-0.20756836,10.684832,-0.251031,0.01575092,0.019677414,7.107683,-6.766344,-46.36863,
30327440,-0.33776283,-0.24829152,10.69681,-0.20735519,-0.031120675,0.028199522,,,,
30327445,-0.2503279,-0.25308245,10.708787,-0.16474466,-0.070002794,0.030862683,7.568815,-6.6096153,-46.2042,
30327450,-0.14492682,-0.26865306,10.623747,-0.120003596,-0.09983017,0.031927943,,,,
30327455,-0.08863307,-0.31416714,10.536312,-0.0747299,-0.12166807,0.02713426,7.7237206,-6.7662716,-46.97236,
30327460,-0.03832802,-0.32973778,10.462053,-0.03851094,-0.1323207,0.019677414,,,,
30327465,0.0011973754,-0.3309355,10.37821,-0.0060204025,-0.13924493,0.010622675,6.338045,-6.193014,-46.703926,
30327470,-0.03832802,-0.3129694,10.1769905,0.01635013,-0.1424407,0.00316583,,,,
30327475,0.033536345,-0.25068697,10.065601,0.03499224,-0.13125543,-0.0032257512,6.185589,-7.082119,-46.852196,
30327480,0.10540068,-0.28901464,10.091951,0.05523225,-0.09769965,-0.010682597,,,,
30327485,0.16888088,-0.30099198,10.100335,0.079733305,-0.05881753,-0.016008914,7.26215,-7.3513317,-46.20324,
30327490,0.23595427,-0.38603148,10.0129,0.10103858,-0.018870145,-0.023998389,,,,
30327495,0.21319722,-0.38483375,9.943432,0.12021332,0.027468817,-0.03784681,6.3366356,-5.16115,-46.71592,
30327500,0.18684696,-0.35249478,9.895521,0.1298007,0.07061199,-0.057554185,,,,
30327505,0.101807475,-0.28661916,9.9063015,0.13352914,0.10310253,-0.0793921,6.4926033,-6.3450375,-47.162636,
30327510,-0.01796645,-0.24589601,9.924267,0.13565966,0.12174463,-0.09856684,,,,
30327515,-0.11378559,-0.19439323,9.957805,0.12926807,0.12600571,-0.10921948,6.4906883,-6.319557,-45.460564,
30327520,-0.27787587,-0.18720679,9.937443,0.12181122,0.121212,-0.11348052,,,,
30327525,-0.38207918,-0.15007688,9.97098,0.121278584,0.11375516,-0.10549106,5.5696144,-6.504137,-47.02897,
30327530,-0.46112996,-0.14289044,10.004517,0.121278584,0.09884147,-0.09963211,,,,
30327535,-0.41082492,-0.11055149,9.976969,0.11808279,0.072742514,-0.09004474,6.184023,-7.0612717,-45.459602,
30327540,-0.46592093,-0.09617859,9.960199,0.11222384,0.039186712,-0.080989994,,,,
30327545,-0.44795483,-0.06982835,9.966188,0.1063649,-7.606648E-4,-0.07885946,7.417715,-8.240398,-46.653374,
30327550,-0.50664407,-0.008743644,9.979364,0.10263647,-0.047099628,-0.0777942,,,,
30327555,-0.5509604,0.07270263,9.926662,0.10103858,-0.09397123,-0.07459842,6.338585,-7.213295,-45.91828,
30327560,-0.6204293,0.13019413,9.955409,0.097310156,-0.14031018,-0.066608936,,,,
30327565,-0.62042934,0.14336924,9.805692,0.08878805,-0.18345335,-0.056488924,6.6444435,-5.8819447,-45.926094,
30327570,-0.6252203,0.14097376,9.712268,0.078135416,-0.22073756,-0.041575238,,,,
30327575,-0.58210164,0.2092449,9.600878,0.061091196,-0.24736916,-0.028792074,5.41424,-6.630718,-45.483727,
30327580,-0.571322,0.20086072,9.566144,0.04457961,-0.26228285,-0.016541544,,,,
30327585,-0.6443841,0.27751604,9.562551,0.027002765,-0.27879444,-2.9960647E-5,7.569008,-7.625265,-45.109077,
30327590,-0.5653333,0.31464595,9.488291,0.012621708,-0.29850182,0.014883729,,,,
30327595,-0.56174004,0.32542562,9.507455,-0.0060204025,-0.31075236,0.029797418,7.2635975,-7.6600456,-47.128227,
30327600,-0.4946667,0.38052163,9.418822,-0.017738303,-0.31394812,0.043645844,,,,
30327605,-0.42519778,0.41166285,9.30863,-0.03744568,-0.3064913,0.054298483,6.800991,-7.3629684,-46.524117,
30327610,-0.38327694,0.4260357,9.259522,-0.05235937,-0.2899797,0.061222687,,,,
30327615,-0.295842,0.41405833,9.142143,-0.06940358,-0.2590871,0.066549,5.108326,-7.6718845,-45.78881,
30327620,-0.24194369,0.47634077,9.118189,-0.086447805,-0.2074218,0.0681469,,,,
30327625,-0.18924317,0.50987744,9.118189,-0.099763595,-0.13924493,0.0681469,5.418085,-7.695009,-47.638023,
30327630,-0.2299663,0.64043105,9.173285,-0.1082857,-0.060948055,0.0681469,,,,
30327635,-0.2503279,0.6655836,9.267906,-0.1098836,0.01575092,0.07187533,5.262657,-7.5314045,-46.405663,
30327640,-0.14492682,0.5541938,9.386482,-0.11094886,0.08978673,0.07560374,,,,
30327645,-0.047909938,0.53383225,9.506256,-0.10508992,0.1579636,0.069744796,6.6471806,-7.510393,-46.371468,
30327650,-0.025152892,0.507482,9.578121,-0.093904644,0.21548784,0.059092164,,,,
30327655,-0.13175169,0.51586616,9.617647,-0.07792569,0.26076153,0.04897216,7.1095963,-6.7918243,-48.070686,
30327660,-0.24793239,0.5661712,9.677533,-0.064077266,0.28899103,0.043645844,,,,
30327665,-0.3401583,0.7158886,9.744606,-0.047565684,0.29804575,0.044711106,6.4907455,-6.609743,-45.147667,
30327670,-0.46112996,0.7913462,9.836833,-0.032651994,0.28472996,0.054298483,,,,
30327675,-0.40723172,0.8021258,9.949421,-0.016140407,0.24957627,0.05696164,6.491596,-5.607992,-47.171196,
30327680,-0.38567242,0.8021258,10.004517,0.0035669683,0.20430256,0.053233214,,,,
30327685,-0.3245877,0.7673914,10.040448,0.024872238,0.1494415,0.04311321,6.0318375,-7.5197315,-46.386665,
30327690,-0.26230526,0.7853575,10.009307,0.048840664,0.09085199,0.025003733,,,,
30327695,-0.31979674,0.8284761,9.959002,0.07067856,0.026936186,0.0063616205,6.798418,-6.605074,-45.140068,
30327700,-0.31141257,0.8596173,9.920674,0.08719015,-0.03431647,-0.013878386,,,,
30327705,-0.32338998,0.89914274,9.911093,0.10370173,-0.085449114,-0.035183653,5.723074,-6.3520775,-46.872154,
30327710,-0.25631654,0.9183066,9.900312,0.117550164,-0.12965754,-0.058619447,,,,
30327715,-0.26470074,0.8955495,9.852403,0.13565966,-0.15948492,-0.0793921,5.724888,-7.6787586,-46.85676,
30327720,-0.33297187,0.84284896,9.754189,0.15430176,-0.18451862,-0.101229995,,,,
30327725,-0.4383729,0.8919563,9.7745495,0.16868281,-0.20316073,-0.11507843,7.4140263,-6.1650906,-45.903664,
30327730,-0.57012427,0.90992236,9.725443,0.18625967,-0.22872706,-0.11933947,,,,
30327735,-0.69588685,0.99855506,9.544584,0.19211863,-0.25642392,-0.11720895,7.4140263,-6.1650906,-45.903664,
30327740,-0.73062134,1.1542611,9.222392,0.17880283,-0.2835881,-0.107088946,,,,
30327745,0.9522023,0.199663,9.047523,0.12553965,-0.37307027,-0.11774158,4.6476326,-7.400284,-46.886772,
30327750,-0.008384556,0.5014933,9.721849,0.03499224,-0.5120871,-0.17473318,,,,
30327755,-0.95699406,1.1446793,9.210415,0.01954592,-0.5259356,-0.18804897,6.645092,-7.4825974,-44.51467,
30327760,-1.4828016,1.7004304,8.543274,0.030198557,-0.402365,-0.15396053,,,,
30327765,-1.6001799,2.0381927,8.601963,0.032329082,-0.24683654,-0.096436314,5.262867,-6.8105736,-47.497353,
30327770,-1.1654006,2.0070515,8.999613,0.0014364414,-0.16268072,-0.038912073,,,,
30327775,-0.74020326,1.7411535,9.379296,-0.055022527,-0.14776702,-0.0032257512,5.7245407,-7.6741276,-46.54728,
30327780,-0.58569485,1.4908259,9.673941,-0.09710044,-0.12965754,0.0042310935,,,,
30327785,-0.3389606,1.2129505,9.776945,-0.10295938,-0.06947017,-0.008552069,6.80381,-9.426693,-46.500145,
30327790,-0.15929969,0.9123179,9.954211,-0.08591517,0.012555129,-0.030922601,,,,
30327795,-0.15570647,0.72906375,10.238075,-0.05662042,0.09244989,-0.05702156,4.186014,-6.8269157,-47.52395,
30327800,-0.3245877,0.6919338,10.469239,-0.030521467,0.14251728,-0.06927209,,,,
30327805,-0.3209945,0.6236627,10.606978,-0.0070856675,0.1595615,-0.06873946,5.4157505,-6.3613796,-47.18923,
30327810,0.5305981,0.09066872,10.724358,-0.004422508,0.11162463,-0.08578368,,,,223.0
30327815,0.0203612,0.1876856,10.9363575,-0.01454251,0.025338292,-0.13585106,5.416813,-7.388611,-46.867775,
30327820,-0.7030733,0.75301856,10.556674,0.024872238,0.023740396,-0.15875421,,,,
30327825,-1.1258752,1.1794138,10.016493,0.08346173,0.09777621,-0.14384054,4.9531174,-5.9192066,-46.741554,
30327830,-1.2480447,1.4596847,9.823657,0.114354365,0.17181203,-0.115611054,,,,
30327835,-1.1007228,1.4608824,9.798505,0.10423437,0.18246466,-0.07726157,4.4946938,-7.559292,-47.50779,
30327840,-1.0432312,1.3830295,9.778144,0.06854804,0.13506043,-0.045836292,,,,
30327845,-0.9725647,1.1901934,9.903906,0.030731188,0.06262251,-0.023465758,7.4196835,-8.556063,-48.04255,
30327850,-0.84440655,0.99855506,9.853601,-0.0012267176,-0.018337512,-0.012280491,,,,
30327855,-0.7258304,0.8668037,9.947025,-0.017205669,-0.09450386,-0.012280491,4.184284,-5.9355125,-47.070015,
