Date created: 2021-10-22-22-24-35-981000000
Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
33651231,,,,-0.018539747,0.037888423,0.02311622,-31.620237,-44.291683,-24.03025,
33651233,0.2000221,0.03796819,9.63681,,,,,,,
33651235,0.17127633,0.0595275,9.593692,,,,,,,
33651236,,,,-0.027061855,0.06665054,0.02311622,,,,
33651238,0.1880447,0.10983254,9.552969,,,,,,,
33651240,0.16888088,0.09545967,9.545782,,,,,,,
33651241,,,,-0.036116596,0.09488003,0.02311622,-32.390827,-43.271496,-24.061234,
33651243,0.14732155,0.07629584,9.591296,,,,,,,
33651245,0.21199948,0.10983254,9.665556,,,,,,,
33651246,,,,-0.04570397,0.12683792,0.02684464,,,,
33651248,0.22397688,0.15534665,9.766166,,,,,,,
33651250,0.21679044,0.14576472,9.8931265,,,,,,,
33651251,,,,-0.047834493,0.14707793,0.033768855,-31.929531,-43.98532,-22.958138,
33651253,0.17846277,0.2607477,10.38899,,,,,,,
33651255,0.2215814,0.25356126,10.657284,,,,,,,
33651256,,,,-0.027594486,0.12257688,0.046552017,,,,
33651258,0.32219148,0.11941446,10.391386,,,,,,,
33651260,0.3557282,0.018804371,10.257238,,,,,,,
33651261,,,,-0.002028162,0.056530535,0.051878337,-33.61973,-44.47176,-24.232666,
33651263,0.33656436,0.033177227,10.250052,,,,,,,
33651265,0.27667743,0.035572723,10.204539,,,,,,,
33651266,,,,-9.628984E-4,0.0128547335,0.03856254,,,,
33651268,0.27428192,0.07869133,10.096742,,,,,,,
33651270,0.25990906,0.09545967,10.070392,,,,,,,
33651271,,,,-0.003093425,-0.012178958,0.02364885,-33.61973,-44.47176,-24.232666,
33651273,0.3030277,0.05473654,10.056019,,,,,,,
33651275,0.35812366,0.03796819,10.020087,,,,,,,
33651276,,,,-0.0014955301,-0.022831593,0.008735161,,,,
33651278,0.3820784,0.006826967,10.003319,,,,,,,
33651280,0.3988468,0.006826967,9.917081,,,,,,,
33651281,,,,0.0075592096,-0.029755807,-3.1957915E-4,-32.699425,-42.974396,-23.608055,
33651283,0.42998803,0.030781746,9.950618,,,,,,,
33651285,0.41082418,0.018804371,9.905104,,,,,,,
33651286,,,,0.015016055,-0.04520213,-0.012037478,,,,
33651288,0.3964513,0.01640886,9.792516,,,,,,,
33651290,0.41561514,0.025990784,9.792516,,,,,,,
33651291,,,,0.012885528,-0.052126344,-0.020559587,-32.233036,-44.913826,-25.58593,
33651293,0.3605191,0.028386295,9.763771,,,,,,,
33651295,0.34854174,0.03796819,9.6751375,,,,,,,
33651296,,,,1.0236513E-4,-0.04893055,-0.02215748,,,,
33651298,0.31260955,0.06431845,9.600878,,,,,,,
33651300,0.2886548,0.04036367,9.581714,,,,,,,
33651301,,,,-0.01374606,-0.03348423,-0.027483799,-31.620953,-43.269085,-24.661163,
33651303,0.29344577,-3.594756E-4,9.612856,,,,,,,
33651305,0.2670955,0.018804371,9.598483,,,,,,,
33651306,,,,-0.024398696,-0.010581063,-0.032277483,,,,
33651308,0.25272262,0.006826967,9.603273,,,,,,,
33651310,0.21918592,0.01640886,9.641601,,,,,,,
33651311,,,,-0.027594486,0.015517892,-0.035473272,-32.697613,-44.30108,-23.592651,
33651313,0.2215814,0.033177227,9.73742,,,,,,,
33651315,0.19044018,0.05234106,9.744607,,,,,,,
33651316,,,,-0.025463957,0.035225265,-0.035473272,,,,
33651318,0.18564922,0.047550112,9.804494,,,,,,,
33651320,0.14253059,0.0595275,9.854799,,,,,,,
33651321,,,,-0.029725013,0.05067159,-0.03494064,-31.004545,-44.28698,-24.324524,
33651323,0.104202926,0.09545967,9.871567,,,,,,,
33651326,0.11618033,0.10983254,9.929059,-0.029192382,0.06025896,-0.032277483,,,,
33651328,0.073061705,0.07390037,9.955409,,,,,,,
33651331,0.029943138,0.08587776,9.984155,,,,-33.00395,-44.034092,-25.151009,
33651332,,,,-0.023333432,0.06984633,-0.029614326,,,,
33651333,0.03712955,0.124205425,9.941036,,,,,,,
33651336,0.0107792765,0.14097376,9.996132,,,,,,,
33651337,,,,-0.014278691,0.07464002,-0.024820637,,,,
33651338,0.0035928488,0.15055569,10.06081,,,,,,,
33651341,-0.044316724,0.14576472,10.03446,,,,-31.157402,-44.881268,-24.476204,
33651342,,,,-0.0089523755,0.073042125,-0.019494321,,,,
33651343,-0.053898618,0.11941446,9.984155,,,,,,,
33651346,-0.044316724,0.12660089,9.976968,,,,,,,
33651347,,,,-0.004158689,0.06452002,-0.015233269,,,,
33651348,-0.032339334,0.12180993,10.051228,,,,,,,
33651351,-0.01796645,0.07390037,10.051228,,,,-32.235397,-43.435097,-25.293587,
33651352,,,,-4.3026663E-4,0.05067159,-0.013102742,,,,
33651353,-0.056294113,0.081086814,10.03446,,,,,,,
33651356,-0.022757411,0.07150489,10.000923,,,,,,,
33651357,,,,-0.003093425,0.028301055,-0.011504846,,,,
33651358,0.029943138,0.10264611,9.979363,,,,,,,
33651361,0.0011973679,0.07629584,9.921872,,,,-31.619488,-44.591133,-24.336296,
33651362,,,,-0.007887112,0.0048652585,-0.010439584,,,,
33651363,0.020361215,0.09066872,9.909895,,,,,,,
33651366,-0.039525762,0.12899637,9.842822,,,,,,,
33651367,,,,-0.011615533,-0.016972644,-0.010439584,,,,
33651368,-0.034734815,0.06431845,9.871567,,,,,,,
33651371,0.017965704,0.08587776,9.818867,,,,-32.853024,-42.400993,-24.547096,
33651372,,,,-0.017474482,-0.030288437,-0.011504846,,,,
33651373,-0.00598906,0.08348228,9.838031,,,,,,,
33651376,-0.00598906,0.03796819,9.845217,,,,,,,
33651377,,,,-0.020137642,-0.03188633,-0.013635373,,,,
33651378,0.03233859,0.028386295,9.85959,,,,,,,
33651381,0.03233859,0.03796819,9.854799,,,,-32.389538,-44.591225,-23.581627,
33651382,,,,-0.021202905,-0.02762528,-0.016831165,,,,
33651383,0.027547628,0.01401341,9.847611,,,,,,,
33651386,0.017965704,0.04036367,9.838031,,,,,,,
33651387,,,,-0.016409218,-0.016972644,-0.017363796,,,,
33651388,0.020361215,0.047550112,9.897918,,,,,,,
33651391,0.027547628,0.021199852,9.9194765,,,,-31.158812,-43.849403,-24.488182,
33651392,,,,-0.008419743,-0.0047221133,-0.020026952,,,,
33651393,-0.001198113,0.047550112,9.969782,,,,,,,
33651396,-0.039525762,-3.594756E-4,9.974573,,,,,,,
33651397,,,,-4.3026663E-4,0.0053978893,-0.019494321,,,,
33651398,-0.022757411,0.004431486,10.015296,,,,,,,
33651401,-0.044316724,0.035572723,10.051228,,,,-31.929565,-41.958656,-25.45784,
33651402,,,,0.013950791,0.0128547335,-0.016831165,,,,
33651403,-0.07785343,0.047550112,10.077578,,,,,,,
33651406,-0.085039854,0.061922967,10.00811,,,,,,,
33651407,,,,0.018744476,0.01764842,-0.012570109,,,,
33651408,-0.12815847,0.03796819,10.000923,,,,,,,
33651411,-0.13774037,0.033177227,10.029669,,,,-31.620953,-43.269085,-24.661163,
33651412,,,,0.0224729,0.012322103,-0.0045806332,,,,
33651413,-0.10899465,0.05234106,10.012901,,,,,,,
33651416,-0.12097203,0.018804371,9.955409,,,,,,,
33651417,,,,0.021940267,0.0069957855,0.003941475,,,,
33651418,-0.085039854,0.0595275,9.955409,,,,,,,
33651421,-0.09701724,0.049945578,9.924268,,,,-32.85348,-41.815987,-24.863419,
33651422,,,,0.02300553,0.0032673627,0.008202529,,,,
33651423,-0.08024889,0.021199852,9.883545,,,,,,,
33651426,-0.09462176,0.018804371,9.857194,,,,,,,
33651427,,,,0.018211845,-9.936913E-4,0.014594112,,,,
33651429,-0.10659915,0.009222448,9.782935,,,,,,,
33651431,-0.044316724,0.025990784,9.735024,,,,-32.2358,-43.14028,-25.297005,
33651432,,,,0.012352895,-0.005254745,0.018855166,,,,
33651434,-0.029943839,0.025990784,9.747002,,,,,,,
33651436,-0.05150315,0.011617929,9.747002,,,,,,,
33651437,,,,0.0054286825,-0.0068526403,0.021518324,,,,
33651439,-0.027548373,0.028386295,9.708674,,,,,,,
33651441,-0.01796645,0.04036367,9.73263,,,,-33.308212,-45.531384,-26.379349,
33651442,,,,-0.002028162,-0.0063200085,0.022583589,,,,
33651444,-0.015570968,0.004431486,9.751793,,,,,,,
33651446,-0.00598906,0.0020360053,9.696697,,,,,,,
33651447,,,,-0.011615533,-0.002058955,0.024714112,,,,
33651449,0.0059883296,0.05234106,9.687115,,,,,,,
