Date created: 2021-10-22-21-50-17-93000000
Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
31615320,0.9378295,-1.1453983,10.171001,-0.021601545,0.049051225,0.042641334,3.8678417,-1.7710352,-44.340355,
31615330,0.8923154,-1.1801326,10.090753,-0.014411017,0.03706701,0.033586595,3.253687,-1.651494,-45.59513,
31615340,0.8252419,-1.1603699,9.993736,-0.012546807,0.01895753,0.01760764,2.638279,-2.2388878,-44.82981,
31615350,0.66115177,-1.0932965,9.809883,-0.0048236456,0.017093318,0.0010960565,2.637125,-1.644618,-44.5272,
31615360,0.4719089,-1.0154434,9.831443,-0.0018941713,0.03706701,-0.007692368,2.1767807,-1.3776503,-45.934624,
31615370,0.3515361,-1.0130479,9.804493,7.6898735E-4,0.04345859,-7.6815486E-4,3.09791,-1.4832573,-44.053307,
31615380,0.39405584,-1.0364039,9.678731,-0.0082857525,0.04159438,0.014145534,3.4068012,-1.4948015,-45.128853,
31615390,0.46532136,-1.0328107,9.712268,-0.026128914,0.046920694,0.017075008,2.1778965,-2.6950674,-45.30027,
31615400,0.4749033,-1.0531722,9.848211,-0.030656286,0.06875859,0.016808692,4.1753216,-0.7507162,-45.42788,
31615410,0.5431744,-1.0567654,9.962595,-0.03864576,0.08047649,0.01574343,3.4053898,-0.4629383,-45.14083,
31615420,0.54437214,-1.059161,10.0709915,-0.039711025,0.078079656,0.016009744,1.8674049,-0.6360092,-45.33184,
31615430,0.55215746,-1.0471835,10.15104,-0.037580498,0.07621544,0.01760764,3.1014996,-2.1099539,-46.52221,
31615440,0.5413778,-1.0094547,10.247059,-0.030922603,0.06955755,0.025064485,3.098606,-1.4925222,-44.67225,
31615450,0.5958749,-0.98130786,10.273409,-0.014677335,0.05517649,0.033586595,2.790329,-1.054965,-44.68499,
31615460,0.63779575,-1.0334095,10.2566395,0.005296357,0.036268063,0.03731502,4.02306,-2.6554708,-44.48101,
31615470,0.6222252,-1.059161,10.079974,0.019144785,0.008304894,0.034119226,5.1001205,-1.9182978,-45.54612,
31615480,0.5144287,-1.0280197,9.786528,0.018878467,-0.0036793202,0.041842386,4.48324,-2.0518818,-44.01226,
31615490,0.4443609,-0.999274,9.601477,0.0015679346,0.02534911,0.052495025,2.9469223,-0.94459724,-47.313362,
31615500,0.30961525,-1.0244265,9.615251,-0.019737335,0.06076912,0.07166976,3.2540894,-1.9463129,-45.591713,
31615510,0.26889208,-1.0477824,9.649986,-0.030389968,0.08793334,0.100431874,4.1789455,-3.4040794,-45.397057,
31615520,0.33476776,-1.1112626,9.697296,-0.04077629,0.11323334,0.120139256,4.022814,-1.3496351,-45.88903,23.0
31615530,0.43358123,-1.1741439,9.855397,-0.036248922,0.13666916,0.124134,4.4830494,-1.036233,-45.107384,
31615540,0.42998803,-1.1801326,10.069793,-0.019204702,0.12814704,0.12147084,2.9448528,-1.9301348,-44.206703,
31615550,0.38746825,-1.1849236,10.036856,-0.010948911,0.06316596,0.111084506,2.9460697,-1.9463491,-45.289833,
31615560,0.2730842,-1.1256355,9.824855,-0.017340492,-0.028979328,0.11081819,5.5619526,-1.770834,-46.000618,
31615570,0.26829323,-1.0022683,9.538595,-0.04849945,-0.09129725,0.12706347,3.0990086,-1.7873411,-44.66883,
31615580,0.6629483,-0.98669773,9.487093,-0.08019104,-0.09236251,0.13958031,3.2555008,-2.978176,-45.57972,
31615590,1.5289137,-1.0196354,9.796709,-0.08205525,-0.06732882,0.08764872,2.9472332,-1.6723766,-46.68586,
31615600,1.3983603,-0.98490113,9.669148,-0.07752788,-0.06519829,0.04690239,2.6410255,-2.999096,-46.368584,
31615610,1.399558,-0.93220055,9.756584,-0.07246788,-0.023919327,0.013080272,3.4071484,-1.4994345,-45.438316,
31615620,1.3031399,-0.8920763,9.885342,-0.055956297,0.00990279,-0.015149213,3.100071,-2.8145704,-44.347374,
31615630,1.1594113,-0.8633305,9.983556,-0.0426405,0.025881741,-0.02233974,3.71525,-1.9346762,-45.270836,
31615640,1.0564057,-0.88009894,10.121296,-0.013878386,0.03200701,-0.02953027,2.791647,-2.5197906,-44.048927,
31615650,1.054609,-0.9226187,10.12429,0.0076932004,0.016560687,-0.031394478,2.331047,-1.8152285,-45.770958,
31615660,1.1462361,-0.9819068,10.030866,0.022340573,-0.0012824773,-0.043911323,4.1746445,-1.7547846,-43.55909,
31615670,1.1821682,-0.9837034,10.054222,0.03858584,-0.022854064,-0.06894502,4.1763287,-1.4877615,-45.41932,
31615680,1.137253,-0.93220055,9.9128895,0.050570056,-0.05454565,-0.09584293,4.1763287,-1.4877615,-45.41932,
31615690,1.1234789,-0.893873,9.603273,0.036987945,-0.08091093,-0.12007767,4.946205,-1.4853535,-46.01925,
31615700,1.0749705,-0.8507544,9.261918,0.006894253,-0.07531829,-0.13765453,4.6369934,-1.6142683,-44.477806,
31615710,0.8977052,-0.77529675,9.242154,-0.03678155,-0.016196167,-0.14031768,3.0988712,-1.0618773,-45.451057,
31615720,0.7683494,-0.7705057,9.525421,-0.06074998,0.0503828,-0.13073032,2.9471703,-2.250432,-45.905357,
31615730,0.6892986,-0.76451707,9.862585,-0.0660763,0.064231224,-0.12300714,2.947178,-1.3821917,-46.998756,
31615740,0.6910951,-0.88189554,10.009905,-0.050896294,0.026148058,-0.12753451,3.2554455,-2.6879902,-45.892616,
31615750,0.6228241,-0.953161,10.024878,-0.028792076,-0.023386694,-0.13712189,2.6407146,-2.2713156,-46.996086,
31615760,0.5617393,-0.9825057,9.933251,-0.009883648,-0.06333408,-0.14484505,3.1014996,-2.1099539,-46.52221,
31615770,0.5180219,-1.0190365,9.836833,0.00316583,-0.08330777,-0.14244822,3.2526264,-0.6242628,-45.916588,
31615780,0.49586368,-1.077127,9.637409,0.008758464,-0.08676988,-0.13685557,4.17795,-1.7987947,-46.49903,
31615790,0.6054568,-1.0950931,9.355342,0.0021005664,-0.08304146,-0.13658926,3.1024513,-2.5568142,-46.826515,
31615800,0.6419879,-1.0795225,9.239161,-0.026661549,-0.07318777,-0.14431243,2.7915478,-1.0711794,-45.76812,
