Date created: 2021-10-22-21-42-26-423000000
Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
31169890,-0.6719321,1.3435041,10.726753,0.1542368,-0.1916407,0.19380654,4.4941998,-4.9476223,-50.323814,
31169895,-0.56054235,1.3554814,10.680041,0.19258627,-0.21028282,0.23694973,,,,
31169900,-0.29823744,1.2920012,10.636923,0.23892523,-0.18897755,0.27370134,2.802002,-4.973303,-50.36561,
31169905,0.044315994,1.1842047,10.550686,0.29325366,-0.15222596,0.29553923,,,,
31169910,0.46112925,1.081199,10.234482,0.3321358,-0.119202785,0.29553923,2.6498146,-5.431761,-51.292656,
31169915,0.92465436,1.0165212,9.598483,0.34811476,-0.08032067,0.27583185,,,,
31169920,1.325897,0.9506455,8.909782,0.32947263,-0.023329072,0.23055814,2.3402386,-4.5427113,-50.691597,313.0
31169925,1.5893996,1.0249053,8.301331,0.27248105,0.059761476,0.17196864,,,,
31169930,1.6684504,1.1806114,7.955185,0.20164101,0.16309205,0.10752021,3.10952,-5.9796505,-48.953423,
31169935,1.6049702,1.251278,7.888111,0.119615726,0.2696184,0.03827808,,,,
31169940,1.3642247,1.3063741,8.071365,0.03652517,0.35270897,-0.024572466,2.8050327,-6.3161983,-51.43331,
31169945,1.0228689,1.3051764,8.40793,-0.034314852,0.3969174,-0.07677038,,,,
31169950,0.64198786,1.4129729,8.719341,-0.09769803,0.3969174,-0.11458723,4.1888084,-5.995735,-51.093086,
31169955,0.26589775,1.5267582,8.930143,-0.15895067,0.36123106,-0.13695778,,,,
31169960,-0.1688816,1.6381478,9.19245,-0.21008334,0.31222895,-0.14334935,0.95651245,-6.021599,-49.62554,
31169965,-0.67073435,1.8130178,9.481104,-0.25535703,0.26748788,-0.12950093,,,,
31169970,-0.99292624,1.9459668,9.924268,-0.26760757,0.2610963,-0.09647776,4.188286,-5.9887867,-50.628883,
