Date created: 2021-10-22-22-16-6-492000000
Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
33194678,,,,-0.030077195,0.0086099235,-0.0062960587,,,,
33194679,0.49706143,-0.37884507,10.937555,,,,,,,
33194682,0.47310662,-0.3500993,10.805804,,,,,,,
33194683,,,,0.0066743963,-0.04678378,-0.005230794,,,,
33194684,0.49227053,-0.33333102,10.695612,,,,-4.224455,-51.864014,-25.118301,
33194687,0.5425755,-0.3453084,10.606978,,,,,,,
33194688,,,,0.036501773,-0.08353537,-0.0036328998,,,,
33194689,0.544971,-0.35968128,10.41534,,,,,,,
33194692,0.5593439,-0.3309355,10.211725,,,,,,,
33194693,,,,0.0604702,-0.09685116,-9.697409E-4,,,,
33194694,0.57371676,-0.3500993,10.137465,,,,-2.9922104,-52.734417,-25.3871,
33194697,0.59527606,-0.36207673,10.03925,,,,,,,
33194698,,,,0.07485126,-0.08779643,0.007552367,,,,
33194699,0.6048579,-0.39561346,9.878754,,,,,,,
33194702,0.6144399,-0.35728577,9.780539,,,,,,,
33194703,,,,0.08177547,-0.069154315,0.01128079,,,,
33194704,0.6479766,-0.32854,9.6751375,,,,-5.452944,-52.490856,-26.379715,
33194707,0.6791178,-0.34291288,9.653579,,,,,,,
33194708,,,,0.07272073,-0.05477326,0.011813422,,,,
33194709,0.770146,-0.34051743,9.579319,,,,,,,
33194712,0.7605641,-0.3069807,9.466731,,,,,,,
33194713,,,,0.055676516,-0.053175364,0.008084999,,,,
33194714,0.7461912,-0.28063044,9.473918,,,,-3.9146576,-53.913803,-24.467796,
33194717,0.7294228,-0.24469826,9.414031,,,,,,,
33194718,,,,0.034371246,-0.052642733,0.0070197354,,,,
33194719,0.6934907,-0.22553441,9.299047,,,,,,,
33194722,0.6767223,-0.15127462,9.227184,,,,,,,
33194723,,,,0.007207028,-0.04252273,0.0070197354,,,,
33194724,0.6359992,-0.14648366,9.20802,,,,-5.452074,-52.502438,-27.153381,
33194727,0.59048504,-0.16564748,9.219996,,,,,,,
33194728,,,,-0.01942456,-0.009499556,0.01128079,,,,
33194730,0.53538907,-0.14887914,9.203229,,,,,,,
33194732,0.54976195,-0.12731981,9.227184,,,,,,,
33194733,,,,-0.046588782,0.03311098,0.016607108,,,,
33194734,,,,,,,-3.2979126,-53.054752,-26.783867,
33194735,0.56413484,-0.11055148,9.303839,,,,,,,
33194737,0.5066433,-0.12731981,9.363726,,,,,,,
33194738,,,,-0.07108984,0.073591,0.027792374,,,,
33194740,0.5162253,-0.105760545,9.459545,,,,,,,
33194742,0.5066433,-0.045873553,9.564946,,,,,,,
33194743,,,,-0.100384586,0.106614165,0.04110817,,,,
33194744,,,,,,,-4.068016,-52.76466,-26.342094,
33194745,0.46831566,-0.08420122,9.641601,,,,,,,
33194747,0.5258072,-0.079410255,9.790121,,,,,,,
33194748,,,,-0.12168986,0.13164786,0.053891335,,,,
33194750,0.55694836,-0.10096955,9.895522,,,,,,,
33194752,0.6216263,-0.11534244,9.948223,,,,,,,
33194753,,,,-0.13500565,0.14815944,0.062946066,,,,
33194754,,,,,,,-4.221361,-52.628853,-26.966537,
33194755,0.70786357,-0.14887914,10.079974,,,,,,,
33194757,0.770146,-0.17762488,10.194957,,,,,,,
33194758,,,,-0.1376688,0.15668155,0.065609224,,,,
33194760,0.8971064,-0.16804296,10.362639,,,,,,,
33194762,1.0025073,-0.22792992,10.477623,,,,,,,
33194763,,,,-0.1259509,0.15348576,0.061348174,,,,
33194764,,,,,,,-4.0672016,-52.486057,-27.428658,
33194765,1.0312531,-0.24709377,10.566256,,,,,,,
33194767,1.1486316,-0.21595255,10.721962,,,,,,,
33194768,,,,-0.10677617,0.1454963,0.048565015,,,,
33194770,1.1941457,-0.18720677,10.829759,,,,,,,
33194772,1.2037276,-0.18481132,10.906414,,,,,,,
33194773,,,,-0.075350896,0.13164786,0.03844501,,,,
33194774,,,,,,,-3.4528008,-53.911434,-24.76587,
33194775,1.2444508,-0.21595255,10.9495325,,,,,,,
33194777,1.2851739,-0.17762488,10.920787,,,,,,,
33194778,,,,-0.03700141,0.11194048,0.02939027,,,,
33194780,1.2971512,-0.23272088,10.911205,,,,,,,
33194782,1.2899649,-0.23272088,10.882459,,,,,,,
33194783,,,,8.154468E-4,0.089569956,0.019802896,,,,
33194784,,,,,,,-3.2984333,-53.047806,-26.319672,
33194785,1.2971512,-0.18960229,10.81299,,,,,,,
33194787,1.2276824,-0.20157966,10.73394,,,,,,,
33194788,,,,0.033838615,0.07891732,0.0064871036,,,,
33194790,1.160609,-0.18241584,10.645307,,,,,,,
33194792,1.095931,-0.1752294,10.604584,,,,,,,
33194793,,,,0.06366599,0.0751889,-0.0020350046,,,,
33194794,,,,,,,-3.3002453,-51.721127,-26.335083,
33194795,1.0384396,-0.11534244,10.503974,,,,,,,
33194797,0.9881345,-0.06264192,10.48481,,,,,,,
33194798,,,,0.08443864,0.074123636,-0.0046981634,,,,
33194800,0.88752437,-0.009941369,10.448878,,,,,,,
33194802,0.8132646,0.025990784,10.374618,,,,,,,
33194803,,,,0.10095022,0.06826468,9.552261E-5,,,,
33194804,,,,,,,-4.070471,-51.7189,-25.425674,
33194805,0.7485867,-0.01233685,10.331499,,,,,,,
33194807,0.68390876,-0.029105216,10.274008,,,,,,,
33194808,,,,0.110004954,0.052818358,0.008084999,,,,
33194810,0.6575585,0.01640886,10.089556,,,,,,,
33194812,0.6719314,0.009222448,10.017691,,,,,,,
33194813,,,,0.10840706,0.03257835,0.016607108,,,,
33194814,,,,,,,-2.8381157,-53.16968,-25.068703,
33194815,0.6503721,0.011617929,9.888336,,,,,,,
33194817,0.68151325,0.047550112,9.8404255,,,,,,,
33194818,,,,0.093493365,0.010740451,0.022466058,,,,
33194820,0.68151325,0.09066872,9.792516,,,,,,,
33194822,0.6407901,0.19127882,9.725443,,,,,,,
33194823,,,,0.07325336,-0.017489033,0.027259743,,,,
33194824,,,,,,,-5.453081,-51.765392,-27.161942,
33194825,0.63120824,0.21283811,9.708674,,,,,,,
33194828,0.6791178,0.2703296,9.703884,0.0503502,-0.049979575,0.03258606,,,,
33194830,0.7557731,0.23918839,9.794911,,,,,,,
33194833,0.82284653,0.25835222,9.881149,0.021055454,-0.084068,0.039510276,,,,
33194834,,,,,,,-2.373579,-54.50557,-26.125023,
33194835,0.86836064,0.22002456,9.917081,,,,,,,
33194838,0.88273346,0.2152336,9.953013,0.0018807102,-0.12028696,0.042706065,,,,
33194840,0.8420104,0.15295115,9.979363,,,,,,,
33194843,0.7773324,0.15774211,9.988946,-0.006108766,-0.15064697,0.042706065,,,,
33194844,,,,,,,-2.9911652,-52.748318,-26.315498,
33194845,0.8420104,0.17930141,10.005713,,,,,,,
33194848,0.95938873,0.21283811,10.10872,-0.0071740285,-0.17994171,0.044836592,,,,
33194850,1.1222814,0.2679341,10.144651,,,,,,,
33194853,1.2516371,0.29667988,10.16142,,,,,,,
33194854,,,,-0.0050435024,-0.22787857,0.04377133,-3.9176693,-50.834427,-25.586884,
33194855,1.2803829,0.29907534,10.103929,,,,,,,
33194858,1.3402699,0.25595674,10.024878,,,,,,,
33194859,,,,2.8281525E-4,-0.28060913,0.036847115,,,,
33194860,1.4504619,0.30147082,10.036855,,,,,,,
33194863,1.6468911,0.28709796,10.147047,,,,,,,
33194864,,,,0.008272292,-0.30830595,0.028325005,-3.451931,-53.923016,-25.539536,
33194865,1.6516821,0.24397933,10.094347,,,,,,,
33194868,1.6205409,0.30865726,10.0320635,,,,,,,
33194869,,,,0.023718612,-0.32907858,0.016074475,,,,
33194870,1.6588686,0.31105274,9.842822,,,,,,,
33194873,1.6900097,0.337403,9.617647,,,,,,,
33194874,,,,0.030110193,-0.3407965,0.0070197354,-4.5290966,-53.211575,-26.193619,
