Date created: 2021-10-22-21-28-52-632000000
Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
30327221,,,,0.03179645,-0.025261726,0.06921216,,,,
30327223,0.06108433,-0.09138766,9.136155,,,,,,,
30327225,-0.001198113,-0.09378314,9.0595,,,,,,,
30327226,,,,-0.0081509305,0.010957235,0.06708164,,,,
30327228,0.0059883296,-0.08899215,9.037941,,,,4.9570885,-8.577202,-47.02021,
30327230,0.0011973679,-0.14887914,8.973263,,,,,,,
30327231,,,,-0.05022884,0.045045663,0.06708164,,,,
30327233,-0.039525762,-0.16804296,8.918167,,,,,,,
30327235,-0.056294113,-0.16564748,8.944517,,,,,,,
30327236,,,,-0.098698325,0.072742514,0.07187533,,,,
30327238,-0.0682715,-0.13929722,8.982845,,,,5.263197,-8.551685,-45.620018,
30327240,-0.06348054,-0.12731981,9.01159,,,,,,,
30327241,,,,-0.14823307,0.09351516,0.07453848,,,,
30327243,-0.0682715,-0.13690174,9.093037,,,,,,,
30327245,-0.07785343,-0.14408818,9.191251,,,,,,,
30327246,,,,-0.18604992,0.11322253,0.07720164,,,,
30327248,-0.06348054,-0.11055148,9.267907,,,,6.798765,-6.609707,-45.44953,
30327250,-0.08024889,-0.11773792,9.363726,,,,,,,
30327251,,,,-0.21427941,0.13133201,0.07879954,,,,
30327253,-0.087435335,-0.12252888,9.505059,,,,,,,
30327255,-0.089830816,-0.13929722,9.634415,,,,,,,
30327256,,,,-0.23505205,0.13399518,0.07560374,,,,
30327258,-0.14013585,-0.14648366,9.73742,,,,6.3399944,-8.245159,-45.906303,
30327260,-0.16169517,-0.14408818,9.883545,,,,,,,
30327261,,,,-0.24623732,0.12174463,0.07507111,,,,
30327263,-0.11857656,-0.1416927,9.996132,,,,,,,
30327265,-0.111390114,-0.18002033,10.099138,,,,,,,
30327266,,,,-0.24197625,0.09458042,0.07773427,,,,
30327268,-0.12576298,-0.17762488,10.238075,,,,7.570114,-7.0611076,-46.818,
30327270,-0.104203686,-0.1967887,10.278799,,,,,,,
30327271,,,,-0.22706257,0.06368778,0.07507111,,,,
30327273,-0.0682715,-0.21116155,10.288381,,,,,,,
30327276,-0.10659915,-0.2423028,10.331499,-0.20309414,0.030131977,0.07240795,,,,
30327278,-0.089830816,-0.2399073,10.45846,,,,7.2626896,-8.371613,-45.417595,
30327281,-0.09462176,-0.2399073,10.503974,-0.17326677,-0.0060869823,0.07613637,,,,
30327283,-0.10899465,-0.26625755,10.503974,,,,,,,
30327286,-0.09462176,-0.27104858,10.494391,-0.1386457,-0.036979627,0.079332165,,,,
30327288,-0.085039854,-0.27104858,10.55907,,,,4.649912,-8.4437275,-47.64846,
30327291,-0.039525762,-0.24469826,10.58542,,,,,,,
30327292,,,,-0.10455728,-0.058284897,0.08199533,,,,
30327293,-0.039525762,-0.2399073,10.623748,,,,,,,
30327296,-0.05150315,-0.25428018,10.681239,,,,,,,
30327297,,,,-0.07206675,-0.08331859,0.08093006,,,,
30327298,-0.101808205,-0.24948928,10.736335,,,,7.2604275,-5.5916862,-46.84272,
30327301,-0.087435335,-0.23511639,10.7387295,,,,,,,
30327302,,,,-0.035315152,-0.11314597,0.08039743,,,,
30327303,-0.07785343,-0.27104858,10.688425,,,,,,,
30327306,-0.10659915,-0.2638621,10.714776,,,,,,,
30327307,,,,-1.6145402E-4,-0.14297333,0.0798648,,,,
30327308,-0.14492682,-0.24469826,10.688425,,,,5.4161167,-7.379347,-46.248833,
30327311,-0.2024183,-0.25907114,10.623748,,,,,,,
30327312,,,,0.036590137,-0.16161545,0.08572374,,,,
30327313,-0.20720926,-0.3093762,10.609375,,,,,,,
30327316,-0.18564996,-0.31895813,10.635725,,,,,,,
30327317,,,,0.076004885,-0.16960493,0.09424585,,,,
30327318,-0.180859,-0.31895813,10.515951,,,,6.1847763,-7.3607254,-45.765648,
30327321,-0.13055395,-0.3309355,10.53751,,,,,,,
30327322,,,,0.1132891,-0.16161545,0.10383323,,,,
30327323,-0.12097203,-0.3668677,10.45846,,,,,,,
30327326,-0.04910767,-0.37644956,10.288381,,,,,,,
30327327,,,,0.14524703,-0.13604912,0.11288796,,,,
30327328,-0.003593579,-0.39800885,10.221307,,,,6.4928513,-7.650873,-45.754616,
30327331,0.041920513,-0.38124058,10.044042,,,,,,,
30327332,,,,0.17187862,-0.100895435,0.11768165,,,,
30327333,0.05868885,-0.43873206,9.938641,,,,,,,
30327336,0.10899392,-0.4770597,9.8404255,,,,,,,
30327337,,,,0.1867923,-0.056687,0.118746914,,,,
30327338,0.1449261,-0.46987328,9.68472,,,,6.184986,-6.6398907,-46.857338,
30327341,0.19044018,-0.47466418,9.560155,,,,,,,
30327342,,,,0.18572704,-0.013543826,0.117149025,,,,
30327343,0.22876784,-0.47466418,9.447568,,,,,,,
30327346,0.23595428,-0.44591853,9.337376,,,,,,,
30327347,,,,0.16708493,0.026403556,0.10756165,,,,
30327348,0.2647,-0.36926314,9.188856,,,,6.8002377,-7.0635147,-46.21807,
30327351,0.32219148,-0.34291288,9.126573,,,,,,,
30327352,,,,0.13512702,0.067948826,0.099572174,,,,
30327353,0.3102141,-0.28781685,8.987636,,,,,,,
30327356,0.31500506,-0.218348,8.951704,,,,,,,
30327357,,,,0.09358173,0.1126899,0.086256385,,,,
30327358,0.34854174,-0.20397511,8.855884,,,,7.7250404,-8.231096,-46.33631,
30327361,0.3533327,-0.23511639,8.784019,,,,,,,
30327362,,,,0.0376554,0.16275729,0.07081006,,,,
30327363,0.35093725,-0.1752294,8.762461,,,,,,,
30327366,0.31979603,-0.17283392,8.700178,,,,,,,
30327367,,,,-0.025727777,0.20217204,0.057494268,,,,
30327368,0.2814684,-0.11773792,8.6714325,,,,6.6489944,-8.837076,-46.356056,
30327371,0.2718864,-0.15127462,8.673828,,,,,,,
30327372,,,,-0.09070886,0.23626046,0.042580582,,,,
30327373,0.21439496,-0.11534244,8.673828,,,,,,,
30327376,0.21918592,-0.057850927,8.774438,,,,,,,
30327377,,,,-0.16261414,0.26448995,0.028732156,,,,
30327378,0.20720854,-0.07461932,8.772043,,,,6.341461,-9.567209,-45.58143,
30327381,0.16648537,-0.08899215,8.824743,,,,,,,
30327382,,,,-0.22919309,0.28472996,0.017546887,,,,
30327384,0.14732155,-0.050664514,8.925353,,,,,,,
30327386,0.08743459,-0.03389615,9.018777,,,,,,,
30327387,,,,-0.2941742,0.29165417,0.007959516,,,,
30327388,,,,,,,5.418434,-7.699642,-47.947487,
30327389,0.07066625,-0.08420122,9.083455,,,,,,,
30327391,0.015570253,-0.06503737,9.174483,,,,,,,
30327392,,,,-0.3453068,0.28419733,-0.0026931195,,,,
30327394,-0.06108506,-0.03389615,9.296652,,,,,,,
30327396,-0.046712205,-0.06264192,9.46194,,,,,,,
30327397,,,,-0.3831237,0.27460995,-0.009617331,,,,
30327398,,,,,,,7.8767796,-6.319393,-46.818962,
30327399,-0.111390114,-0.050664514,9.576922,,,,,,,
30327401,-0.15450874,-0.07222381,9.74221,,,,,,,
30327402,,,,-0.40123317,0.26076153,-0.016541544,,,,
30327404,-0.22397761,-0.03868714,9.838031,,,,,,,
30327406,-0.21439569,-0.048269033,9.9602,,,,,,,
30327407,,,,-0.40602684,0.24478257,-0.019204704,,,,
30327408,,,,,,,7.5670013,-5.282933,-46.219612,
30327409,-0.25990978,-0.07461932,10.08716,,,,,,,
30327411,-0.3054239,-0.0985741,10.194957,,,,,,,
30327412,,,,-0.39910266,0.22187942,-0.016008914,,,,
30327414,-0.3389606,-0.103365034,10.343477,,,,,,,
30327416,-0.38207918,-0.14887914,10.367431,,,,,,,
30327417,,,,-0.3799279,0.18672572,-0.010682597,,,,
30327418,,,,,,,7.4175777,-7.5149345,-47.4356,
30327419,-0.3916611,-0.17283392,10.408154,,,,,,,
30327421,-0.42519778,-0.19918418,10.393782,,,,,,,
30327422,,,,-0.3564921,0.14997414,-0.0048236465,,,,
30327424,-0.42280233,-0.1752294,10.515951,,,,,,,
30327426,-0.40603396,-0.20397511,10.604584,,,,,,,
30327427,,,,-0.32400155,0.111092,0.0026331982,,,,
30327428,,,,,,,6.1844826,-7.6462765,-45.143272,
30327429,-0.40363848,-0.18960229,10.630934,,,,,,,
30327431,-0.43238425,-0.1967887,10.650098,,,,,,,
30327432,,,,-0.29044577,0.06528567,0.010090043,,,,
30327434,-0.39645207,-0.20157966,10.662075,,,,,,,
30327436,-0.36531085,-0.19439322,10.681239,,,,,,,
30327437,,,,-0.251031,0.01575092,0.019677414,,,,
30327438,,,,,,,7.107683,-6.766344,-46.36863,
30327439,-0.3701018,-0.2207435,10.688425,,,,,,,
30327441,-0.3605199,-0.24948928,10.695612,,,,,,,
30327442,,,,-0.20735519,-0.031120675,0.028199522,,,,
30327444,-0.31500578,-0.24709377,10.698007,,,,,,,
30327446,-0.27428266,-0.22792992,10.702798,,,,,,,
30327447,,,,-0.16474466,-0.070002794,0.030862683,,,,
30327448,,,,,,,7.568815,-6.6096153,-46.2042,
30327449,-0.22637309,-0.278235,10.714776,,,,,,,
30327451,-0.14253134,-0.2566757,10.652493,,,,,,,
30327452,,,,-0.120003596,-0.09983017,0.031927943,,,,
30327454,-0.1473223,-0.28063044,10.595002,,,,,,,
30327456,-0.116181076,-0.30458525,10.55907,,,,,,,
30327457,,,,-0.0747299,-0.12166807,0.02713426,,,,
30327458,,,,,,,7.7237206,-6.7662716,-46.97236,
30327459,-0.06108506,-0.32374904,10.513556,,,,,,,
30327461,-0.03713028,-0.31177166,10.489601,,,,,,,
30327462,,,,-0.03851094,-0.1323207,0.019677414,,,,
30327464,-0.039525762,-0.3477039,10.4345045,,,,,,,
30327466,-0.003593579,-0.3477039,10.41534,,,,,,,
30327467,,,,-0.0060204025,-0.13924493,0.010622675,,,,
30327468,,,,,,,6.338045,-6.193014,-46.703926,
30327469,0.0059883296,-0.3141671,10.341081,,,,,,,
30327471,-0.04192123,-0.32614455,10.202143,,,,,,,
30327472,,,,0.01635013,-0.1424407,0.00316583,,,,
30327474,-0.034734815,-0.29979423,10.151838,,,,,,,
30327476,0.020361215,-0.2638621,10.072787,,,,,,,
30327477,,,,0.03499224,-0.13125543,-0.0032257512,,,,
30327478,,,,,,,6.185589,-7.082119,-46.852196,
30327479,0.046711475,-0.23751184,10.058414,,,,,,,
30327481,0.075457215,-0.26865306,10.101533,,,,,,,
30327482,,,,0.05523225,-0.09769965,-0.010682597,,,,
30327484,0.13534415,-0.3093762,10.082369,,,,,,,
30327486,0.15211254,-0.30218974,10.096742,,,,,,,
30327487,,,,0.079733305,-0.05881753,-0.016008914,,,,
30327488,,,,,,,7.26215,-7.3513317,-46.20324,
30327489,0.18564922,-0.29979423,10.103929,,,,,,,
30327491,0.23116332,-0.3740541,10.041646,,,,,,,
30327492,,,,0.10103858,-0.018870145,-0.023998389,,,,
30327494,0.24074522,-0.39800885,9.984155,,,,,,,
30327497,0.22637233,-0.36926314,9.969782,0.12021332,0.027468817,-0.03784681,,,,
30327498,,,,,,,6.3366356,-5.16115,-46.71592,
30327499,0.2000221,-0.40040436,9.917081,,,,,,,
30327502,0.19523114,-0.36926314,9.9194765,0.1298007,0.07061199,-0.057554185,,,,
30327504,0.17846277,-0.3357264,9.871567,,,,,,,
30327507,0.11857581,-0.31177166,9.9194765,0.13352914,0.10310253,-0.0793921,,,,
30327508,,,,,,,6.4926033,-6.3450375,-47.162636,
30327509,0.08503914,-0.26146665,9.8931265,,,,,,,
30327512,0.020361215,-0.27344403,9.945827,,,,,,,
30327513,,,,0.13565966,0.12174463,-0.09856684,,,,
30327514,-0.056294113,-0.218348,9.902708,,,,,,,
30327517,-0.09462176,-0.18960229,9.955409,,,,,,,
30327518,,,,0.12926807,0.12600571,-0.10921948,6.4906883,-6.319557,-45.460564,
30327519,-0.13294941,-0.19918418,9.9602,,,,,,,
30327522,-0.24553691,-0.19918418,9.921872,,,,,,,
30327523,,,,0.12181122,0.121212,-0.11348052,,,,
30327524,-0.31021482,-0.1752294,9.953013,,,,,,,
30327527,-0.3677063,-0.1416927,9.967386,,,,,,,
30327528,,,,0.121278584,0.11375516,-0.10549106,5.5696144,-6.504137,-47.02897,
30327529,-0.39645207,-0.15846106,9.974573,,,,,,,
30327532,-0.46112996,-0.13929722,10.012901,,,,,,,
30327533,,,,0.121278584,0.09884147,-0.09963211,,,,
30327534,-0.46112996,-0.14648366,9.996132,,,,,,,
30327537,-0.41801137,-0.11534244,9.969782,,,,,,,
30327538,,,,0.11808279,0.072742514,-0.09004474,6.184023,-7.0612717,-45.459602,
30327539,-0.40363848,-0.105760545,9.984155,,,,,,,
30327542,-0.46592093,-0.09617859,9.964991,,,,,,,
30327543,,,,0.11222384,0.039186712,-0.080989994,,,,
30327544,-0.46592093,-0.09617859,9.955409,,,,,,,
30327547,-0.44436163,-0.08420122,9.948223,,,,,,,
30327548,,,,0.1063649,-7.606648E-4,-0.07885946,7.417715,-8.240398,-46.653374,
30327549,-0.45154807,-0.055455476,9.984155,,,,,,,
30327552,-0.4922712,-0.031500697,9.984155,,,,,,,
30327553,,,,0.10263647,-0.047099628,-0.0777942,,,,
30327554,-0.52101696,0.01401341,9.974573,,,,,,,
30327557,-0.56174004,0.09066872,9.926662,,,,,,,
30327558,,,,0.10103858,-0.09397123,-0.07459842,6.338585,-7.213295,-45.91828,
30327559,-0.5401808,0.05473654,9.926662,,,,,,,
30327562,-0.60006773,0.10504159,9.9602,,,,,,,
30327563,,,,0.097310156,-0.14031018,-0.066608936,,,,
30327564,-0.6407909,0.15534665,9.950618,,,,,,,
30327567,-0.6288135,0.14576472,9.823658,,,,,,,
30327568,,,,0.08878805,-0.18345335,-0.056488924,6.6444435,-5.8819447,-45.926094,
30327569,-0.61204517,0.14097376,9.787725,,,,,,,
30327572,-0.626418,0.17451046,9.744607,,,,,,,
30327573,,,,0.078135416,-0.22073756,-0.041575238,,,,
30327574,-0.62402254,0.10743706,9.679929,,,,,,,
30327577,-0.5904858,0.18888333,9.603273,,,,,,,
30327578,,,,0.061091196,-0.24736916,-0.028792074,5.41424,-6.630718,-45.483727,
30327579,-0.5737175,0.22960648,9.598483,,,,,,,
30327582,-0.5856949,0.19127882,9.574528,,,,,,,
30327583,,,,0.04457961,-0.26228285,-0.016541544,,,,
30327584,-0.55694914,0.21044263,9.55776,,,,,,,
30327587,-0.64318633,0.2679341,9.562551,,,,,,,
30327588,,,,0.027002765,-0.27879444,-2.9960647E-5,7.569008,-7.625265,-45.109077,
30327589,-0.64558184,0.28709796,9.562551,,,,,,,
30327592,-0.56653106,0.30626178,9.519432,,,,,,,
30327593,,,,0.012621708,-0.29850182,0.014883729,,,,
30327594,-0.56413555,0.32303014,9.457149,,,,,,,
30327597,-0.56174004,0.32542562,9.507455,,,,,,,
30327598,,,,-0.0060204025,-0.31075236,0.029797418,7.2635975,-7.6600456,-47.128227,
30327600,-0.5258079,0.3493804,9.445172,,,,,,,
30327602,-0.46352547,0.41166285,9.392472,,,,,,,
30327603,,,,-0.017738303,-0.31394812,0.043645844,,,,
30327605,-0.43717518,0.41166285,9.323003,,,,,,,
30327607,-0.4132204,0.41166285,9.294257,,,,,,,
30327608,,,,-0.03744568,-0.3064913,0.054298483,6.800991,-7.3629684,-46.524117,
30327610,-0.40603396,0.4044764,9.263116,,,,,,,
30327612,-0.3605199,0.447595,9.255929,,,,,,,
30327613,,,,-0.05235937,-0.2899797,0.061222687,,,,
30327615,-0.31261033,0.4044764,9.157715,,,,,,,
30327617,-0.27907363,0.42364025,9.126573,,,,,,,
30327618,,,,-0.06940358,-0.2590871,0.066549,5.108326,-7.6718845,-45.78881,
30327620,-0.25511882,0.45478147,9.114595,,,,,,,
30327622,-0.22876856,0.49790007,9.121782,,,,,,,
30327623,,,,-0.086447805,-0.2074218,0.0681469,,,,
30327625,-0.18804543,0.47873622,9.1074095,,,,,,,
30327627,-0.19044091,0.5410187,9.128969,,,,,,,
30327628,,,,-0.099763595,-0.13924493,0.0681469,5.418085,-7.695009,-47.638023,
30327630,-0.2024183,0.617674,9.150528,,,,,,,
30327632,-0.2575143,0.6631881,9.196042,,,,,,,
30327633,,,,-0.1082857,-0.060948055,0.0681469,,,,
30327635,-0.25990978,0.67277,9.243952,,,,,,,
30327637,-0.24074596,0.65839714,9.291861,,,,,,,
30327638,,,,-0.1098836,0.01575092,0.07187533,5.262657,-7.5314045,-46.405663,
30327640,-0.180859,0.5889282,9.368517,,,,,,,
30327642,-0.10899465,0.51945937,9.4044485,,,,,,,
30327643,,,,-0.11094886,0.08978673,0.07560374,,,,
30327645,-0.0682715,0.51227295,9.466731,,,,,,,
30327647,-0.027548373,0.55539155,9.545782,,,,,,,
30327648,,,,-0.10508992,0.1579636,0.069744796,6.6471806,-7.510393,-46.371468,
30327650,-0.01796645,0.49071363,9.581714,,,,,,,
30327652,-0.032339334,0.5242503,9.574528,,,,,,,
30327653,,,,-0.093904644,0.21548784,0.059092164,,,,
30327655,-0.09701724,0.4955046,9.612856,,,,,,,
30327657,-0.16648611,0.5362277,9.6224375,,,,,,,
30327658,,,,-0.07792569,0.26076153,0.04897216,7.1095963,-6.7918243,-48.070686,
30327660,-0.23835048,0.5386232,9.627228,,,,,,,
30327662,-0.2575143,0.59371924,9.7278385,,,,,,,
30327663,,,,-0.064077266,0.28899103,0.043645844,,,,
30327665,-0.30781937,0.6967248,9.74221,,,,,,,
30327667,-0.37249726,0.73505247,9.747002,,,,,,,
30327668,,,,-0.047565684,0.29804575,0.044711106,6.4907455,-6.609743,-45.147667,
30327670,-0.44436163,0.7805666,9.818867,,,,,,,
30327672,-0.47789833,0.8021258,9.854799,,,,,,,
30327673,,,,-0.032651994,0.28472996,0.054298483,,,,
30327675,-0.41801137,0.7949394,9.895522,,,,,,,
30327677,-0.39645207,0.8093122,10.003319,,,,,,,
30327678,,,,-0.016140407,0.24957627,0.05696164,6.491596,-5.607992,-47.171196,
30327680,-0.39645207,0.81410325,9.981759,,,,,,,
30327682,-0.37489277,0.7901484,10.027273,,,,,,,
30327683,,,,0.0035669683,0.20430256,0.053233214,,,,
30327685,-0.3389606,0.7661936,10.03925,,,,,,,
30327687,-0.31021482,0.76858914,10.041646,,,,,,,
30327688,,,,0.024872238,0.1494415,0.04311321,6.0318375,-7.5197315,-46.386665,
30327690,-0.25511882,0.7853575,9.996132,,,,,,,
30327692,-0.2694917,0.7853575,10.022482,,,,,,,
30327693,,,,0.048840664,0.09085199,0.025003733,,,,
30327695,-0.31740126,0.838058,9.991341,,,,,,,
30327697,-0.32219222,0.81889415,9.926662,,,,,,,
30327698,,,,0.07067856,0.026936186,0.0063616205,6.798418,-6.605074,-45.140068,
30327700,-0.3054239,0.8308716,9.945827,,,,,,,
30327702,-0.31740126,0.888363,9.895522,,,,,,,
30327703,,,,0.08719015,-0.03431647,-0.013878386,,,,
30327705,-0.33416963,0.893154,9.902708,,,,,,,
30327707,-0.31261033,0.90513146,9.9194765,,,,,,,
30327708,,,,0.10370173,-0.085449114,-0.035183653,5.723074,-6.3520775,-46.872154,
30327710,-0.22876856,0.9242953,9.902708,,,,,,,
30327713,-0.28386456,0.9123179,9.897918,0.117550164,-0.12965754,-0.058619447,,,,
30327715,-0.28386456,0.9195043,9.857194,,,,,,,
30327718,-0.24553691,0.87159467,9.847611,0.13565966,-0.15948492,-0.0793921,5.724888,-7.6787586,-46.85676,
30327720,-0.31740126,0.838058,9.770957,,,,,,,
30327723,-0.34854248,0.8476399,9.73742,0.15430176,-0.18451862,-0.101229995,,,,
30327725,-0.37728822,0.89794505,9.74221,,,,,,,
30327728,-0.49945763,0.8859676,9.806889,0.16868281,-0.20316073,-0.11507843,7.4140263,-6.1650906,-45.903664,
30327730,-0.5473672,0.8907585,9.75898,,,,,,,
